"Supplier's Part Number","Manufacturer's Part Number","Product Name","Quantity in Stock","Buy Price","Manufacturer's Name","When in Stock","Item Barcode"
"30907","045400","HID FARGO 045400 C50 EZ YMCKO Cartridge -Cleaning Roller",13,"80.06","Fargo","Now",""
"30908","051400","HID FARGO 051400 DTC1500 Base Model Single-Sided Printer",0,"2,940.05","Fargo","Call",""
"30910","051000","HID FARGO 051000 DTC1250e Printer - Base Model",4,"2,386.26","Fargo","Now",""
"30916","045530","HID FARGO 045530 DTC1250e-YMCKO Colour Ribbon",14,"162.58","Fargo","Now",""
"30917","045531","HID FARGO 045531 DTC1250e Ribbon with Cleaning Roller",0,"180.46","Fargo","10/08/2026",""
"30920","052000","HID FARGO DTC4250e Card Printer Base Model",1,"3,838.19","Fargo","Now",""
"30923","052108","HID FARGO DTC4250e Card Printer DS Model",0,"6,459.12","Fargo","Call",""
"30926","045100","HID FARGO 045100 DTC4250e EZ - YMCKO Cartridge",10,"180.46","Fargo","Now",""
"30927","045114","HID FARGO 045114 DTC4250e EZ YMCKO Half Cartridge",0,"167.06","Fargo","Call",""
"30928","045110","HID FARGO 045110 DTC4250e EZYMCKOK Cartridge-Cleaning Roller",0,"189.42","Fargo","Call",""
"30930","055008","HID FARGO DTC4500e Card Printer Base Model+Ethernet -Encoder",0,"5,499.57","Fargo","Call",""
"30933","055108","HID FARGO DTC4500e Card Printer DS Model + Ethernet -Encoder",0,"6,842.94","Fargo","22/07/2026",""
"30936","045200","HID FARGO 045200 DTC4500e EZ - YMCKO Cartridge",6,"304.26","Fargo","Now",""
"30937","045214","HID FARGO 045214 DTC4500e EZ YMCKO Half Cartridge",0,"399.70","Fargo","Call",""
"30938","045210","HID FARGO 045210 DTC4500e EZYMCKOK Cartridge-Cleaning Roller",1,"402.68","Fargo","Now",""
"30940","089600","HID FARGO 089600 HDP5000 Printer - Base Model",0,"5,806.63","Fargo","Call",""
"30943","089657","HID FARGO 089657 HDP5000 Printer - DS Model",0,"9,951.86","Fargo","Call",""
"30947","084053","HID FARGO 084053 Clear HDP5000 HDP Film – 1500 images",1,"289.34","Fargo","Now",""
"30950","088935","HID FARGO 088935 - HDP5000 Single-Side Lamination Module",0,"3,635.32","Fargo","Call",""
"30951","089001","HID FARGO 089001 - HDP5000 Dual-Side Printing Module",0,"1,526.51","Fargo","Call",""
"30952","089279","HID FARGO 089279 - HDP00 5122 ENCODER BAY 2",0,"1,420.00","Fargo","Call",""
