Brand Text,Product Code,Description,UOM,Dealer Ex GST,Dealer Inc GST,RRP Inc GST,Indent Or Stocked,URL
ABB,AB-41021F,"ABB WELCOME FLUSHMNT BOX 1 MODULE, SIZE 1/1 41021F",EACH,$115.04,$132.30,$189.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-1-module-size-1~1-41021f
ABB,AB-41022F,"ABB WELCOME FLUSHMNT BOX 2 MODULE, SIZE 1/2 41022F",EACH,$122.35,$140.70,$201.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-2-module-size-1~2-41022f
ABB,AB-41023F,"ABB WELCOME FLUSHMNT BOX 3 MODULE, SIZE 1/3 41023F",EACH,$136.35,$156.80,$224.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-3-module-size-1~3-41023f
ABB,AB-41024F,"ABB WELCOME FLUSHMNT BOX 4 MODULE, SIZE 1/4 41024F",EACH,$143.04,$164.50,$235.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-4-module-size-1~4-41024f
ABB,AB-41026F,"ABB WELCOME FLUSHMNT BOX 8 MODULE, SIZE 2/4 41026F",EACH,$191.74,$220.50,$315.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-8-module-size-2~4-41026f
ABB,AB-41381F-B,ABB WELCOME FLUSHMNT BOX ANTH SIZE 1/1 41381F-B,EACH,$186.87,$214.90,$307.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-anth-size-1~1-41381f-b
ABB,AB-41381F-H,ABB WELCOME FLUSHMNT BOX GREY SIZE 1/1 41381F-H,EACH,$187.48,$215.60,$308.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-grey-size-1~1-41381f-h
ABB,AB-41381PB,ABB OD PRE-INSTALL BOX ANTH SIZE 1/1 41381PB,EACH,$67.57,$77.71,$111.00,S,https://amber.co.nz/abb-od-pre-install-box-anth-size-1~1-41381pb
ABB,AB-41381RH,ABB WELCOME FM RAIN HOOD AL SIZE 1/X 41381RH,EACH,$124.78,$143.50,$205.00,S,https://amber.co.nz/abb-welcome-fm-rain-hood-al-size-1~x-41381rh
ABB,AB-41381S-B,ABB WELCOME SURF-MNT BOX ANTH SIZE 1/1 41381S-B,EACH,$189.91,$218.40,$312.00,S,https://amber.co.nz/abb-welcome-surf-mnt-box-anth-size-1~1-41381s-b
ABB,AB-41381S-H,ABB WELCOME SURF-MNT BOX GREY SIZE 1/1 41381S-H,EACH,$187.48,$215.60,$308.00,S,https://amber.co.nz/abb-welcome-surf-mnt-box-grey-size-1~1-41381s-h
ABB,AB-41382F-B,ABB WELCOME FLUSHMNT BOX ANTH SIZE 1/2 41382F-B,EACH,$191.74,$220.50,$315.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-anth-size-1~2-41382f-b
ABB,AB-41382F-H,ABB WELCOME FLUSHMNT BOX GREY SIZE 1/2 41382F-H,EACH,$122.35,$140.70,$201.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-grey-size-1~2-41382f-h
ABB,AB-41382PB,ABB OD PRE-INSTALL BOX ANTH SIZE 1/2 41382PB,EACH,$77.30,$88.90,$127.00,S,https://amber.co.nz/abb-od-pre-install-box-anth-size-1~2-41382pb
ABB,AB-41382RH,ABB WELCOME FM RAIN HOOD AL SIZE 2/X 41382RH,EACH,$153.39,$176.40,$252.00,S,https://amber.co.nz/abb-welcome-fm-rain-hood-al-size-2~x-41382rh
ABB,AB-41382S-B,ABB WELCOME SURF-MNT BOX ANTH SIZE 1/2 41382S-B,EACH,$194.17,$223.30,$319.00,S,https://amber.co.nz/abb-welcome-surf-mnt-box-anth-size-1~2-41382s-b
ABB,AB-41383CF-A,ABB WELCOME OS VIDEO FRAME AL SIZE 1/3 41383CF-A,EACH,$190.52,$219.10,$313.00,S,https://amber.co.nz/abb-welcome-os-video-frame-al-size-1~3-41383cf-a
ABB,AB-41383CF-S,ABB WELCOME OS VIDEO FRAME SS SIZE 1/3 41383CF-S,EACH,$619.04,$711.90,"$1,017.00",S,https://amber.co.nz/abb-welcome-os-video-frame-ss-size-1~3-41383cf-s
ABB,AB-41383CF-W,ABB WELCOME OS VIDEO FRAME WH SIZE 1/3 41383CF-W,EACH,$510.70,$587.31,$839.00,S,https://amber.co.nz/abb-welcome-os-video-frame-wh-size-1~3-41383cf-w
ABB,AB-41383F-B,ABB WELCOME FLUSHMNT BOX ANTH SIZE 1/3 41383F-B,EACH,$213.04,$245.00,$350.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-anth-size-1~3-41383f-b
ABB,AB-41383F-H,ABB WELCOME FLUSHMNT BOX GREY SIZE 1/3 41383F-H,EACH,$136.35,$156.80,$224.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-grey-size-1~3-41383f-h
ABB,AB-41383PB,ABB OD PRE-INSTALL BOX ANTH SIZE 1/3 41383PB,EACH,$86.43,$99.39,$142.00,S,https://amber.co.nz/abb-od-pre-install-box-anth-size-1~3-41383pb
ABB,AB-41383RH,ABB WELCOME SM RAIN HOOD AL SIZE 1/X 41383RH,EACH,$122.96,$141.40,$202.00,S,https://amber.co.nz/abb-welcome-sm-rain-hood-al-size-1~x-41383rh
