Brand Text,Product Code,Description,UOM,Dealer Ex GST,Dealer Inc GST,RRP Inc GST,Indent Or Stocked 
AC Infinity,AI-AC-AFT7-BLKT,Airframe T7 Black Exhaust + PP Smart In Cupboard Cooler AC Infinity,EACH,257.17,295.75,455,K
AC Infinity,AI-AC-AFT7-WHKT,Airframe T7 White Exhaust + PP Smart In Cupboard Cooler AC Infinity,EACH,257.17,295.75,455,K
AC Infinity,AI-AC-AFT7N-BLKT,Airframe T7 Black INTAKE +PP Smart In Cupboard Cooler AC Infinity,EACH,257.17,295.75,455,K
AC Infinity,AI-AC-AFT7N-WHKT,Airframe T7 White INTAKE +PP Smart In Cupboard Cooler AC Infinity,EACH,257.17,295.75,455,K
AC Infinity,AI-AC-AGB7,Black Vent Grille for Airframe Series AC Infinity,EACH,44.65,51.35,79,S
AC Infinity,AI-ACS10KT,Aircom S10 Component Cool With Power Pack AC Infinity,EACH,191.61,220.35,339,S
AC Infinity,AI-ACS6KT,Aircom S6 + Power pack 2x 120mm 100CFM @ 20dBA Rear AC Infinity,EACH,129.41,148.82,229,K
AC Infinity,AI-ACS7KT,Aircom S7 + Power pack 2 x 120mm 3964LPM @ 20dBA AC Infinity,EACH,123.78,142.35,219,K
AC Infinity,AI-ACS8KT,Aircom S8 + Power pack 3x120mm fans160 CFM@24dB Rear AC Infinity,EACH,191.61,220.35,339,K
AC Infinity,AI-ACS9KT,Aircom S9 + Power Pack 3 x 120 mm fans 210 CFM @ 28dB AC Infinity,EACH,174.65,200.85,309,K
AC Infinity,AI-ACT10KT,Aircom T10 Component Cool With Power pack AC Infinity,EACH,242.48,278.85,429,K
AC Infinity,AI-ACT8KT,ACT8 + Power Pack 3x120mm fans 160CFM@32dB Rear AC Infinity,EACH,242.48,278.85,429,K
AC Infinity,AI-ACT9KT,AI-ACT9 + AI-AIRCLDPOWER Ships as a kit AC INfinity,EACH,242.48,278.85,429,K
AC Infinity,AI-AP1TBKIT,Airplate S1 + ATC cooler 26CFM @ 22dbA AC Infinity,EACH,146.39,168.35,259,K
AC Infinity,AI-AP5TBKIT,Airplate S5 + ATC cooler 52CFM @ 19 db AC Infinity,EACH,163.35,187.85,289,K
AC Infinity,AI-AP7TBKIT,Airplate S7+ ATC cooler 104CFM @ 19 dbA AC Infinity,EACH,202.91,233.35,359,K
AC Infinity,AI-AP9TBKIT,Airplate S9+ ATC cooler 156CFM @ 27dbA AC Infinity,EACH,214.22,246.35,379,K
AC Infinity,AI-APS2,Airplate S2 80mm Horiontal fan Cabinet cooler 35 CFM @ 17 dBA AC Infinity,EACH,61.61,70.85,109,S
AC Infinity,AI-APS2BKIT,Airplate S2 + ATC cooler 35CFM @ 17db AC Infinity,EACH,152.04,174.85,269,K
AC Infinity,AI-APS2WH,AIRPLATE 2 WHITE KIT AI-APS2 + AI-MFW2 AC INFINITY,EACH,80.83,92.95,143,K
AC Infinity,AI-APS9/KT,Airplate S9 3x120mm Cabinet Cool 156CFM@21dBA with P/Pack AC Infinity,EACH,112.48,129.35,199,K
AC Infinity,AI-APT3KT,Airplate T3 + Therm Control BL 1 x120mm Fan 1472LPM @18dBA Includes USB Power Supply,EACH,157.7,181.36,279,K
AC Infinity,AI-APT8KT,2 x Airplate S3 fans in Black ATC Controler in Black AC Infinity,EACH,208.57,239.86,369,K
AC Infinity,AI-APT8WKT,2 x Airplate S3 fans in White ATC Controler + Power Pack AC INfinity,EACH,208.57,239.86,369,K
AC Infinity,AI-ATC+PPACK,Thermal Controller + PPack Digital Temp opperation for any USB fan,EACH,101.17,116.35,179,K
AC Infinity,AI-ATC4K,4 Zone Thermal Controller With Power Pack AC INFINITY,EACH,176.68,203.18,319,K
AC Infinity,AI-CFD120BA/KT,Airplate S7 2x120 mm Cabinet With Power Pack AC Infinity,EACH,106.83,122.85,189,K
AC Infinity,AI-CFD80BA,Airplate S5 2 x 80mm Cabinet Cooler 52 CFM @ 18 dBA AC Infinity,EACH,67.26,77.35,119,S
AC Infinity,AI-CFD80BAWH,Airplate 5 White Kit AI-CFD80BA + AI-MFW5 AC Infinity,EACH,83.65,96.2,148,K
AC Infinity,AI-CFS120BA,Airplate S3 120mm Cabinet Cooler 52 CFM @ 18 DBA AC Inifinity,EACH,61.61,70.85,109,S
AC Infinity,AI-CFS80BA,Airplate S1 80mm Cabinet cooler 26CFM @ 17dbA AC Infinity,EACH,53.13,61.1,94,S
