VENDOR,SUPPLIER CODE,ITEM CODE,SHORT DESCRIPTION,NOTES,NZ RRP EXCL,NZ DEALER EXCL
AVPro Edge,AC-10G-AOC-01,AC-10G-AOC-01,1M AOC SFP Cable for connecting to transceivers,,$214,$150
AVPro Edge,AC-10G-AOC-02,AC-10G-AOC-02,2M AOC SFP Cable for connecting to transceivers,,$222,$156
AVPro Edge,AC-10G-AOC-03,AC-10G-AOC-03,3M AOC SFP Cable for connecting to transceivers,,$231,$162
AVPro Edge,AC-10G-SFPP-C100,AC-10G-SFPP-C100,10G SFP+ Copper RJ45 100M Module,,"$1,150",$805
AVPro Edge,AC-10G-SFPP-C30,AC-10G-SFPP-C30,10G SFP+ Copper RJ45 30M Module,,$594,$416
AVPro Edge,AC-10G-SFPP-C80,AC-10G-SFPP-C80,10G SFP+ Copper RJ45 80M Module,,"$1,065",$745
AVPro Edge,AC-10G-SFPP-MM,AC-10G-SFPP-MM,10G SFP+ Multi-Mode Fiber Module,,$154,$108
AVPro Edge,AC-10G-SFPP-SM,AC-10G-SFPP-SM,10G SFP+ Single-Mode Fiber Module,,$231,$162
AVPro Edge,AC-1G-SFP-C,AC-1G-SFP-C,MXnet 1G SFP with Copper RJ-45,,$75,$52
AVPro Edge,AC-1G-SFP-MM,AC-1G-SFP-MM,MXnet 1G SFP with Multimode Fiber,,$103,$72
AVPro Edge,AC-1G-SFP-SM,AC-1G-SFP-SM,MXnet 1G SFP with Single Mode Fiber,,$231,$162
AVPro Edge,AC-25G-AOC-01,AC-25G-AOC-01,25G SFP28 1 Meter Active Optical Cable,,$406,$284
AVPro Edge,AC-25G-AOC-02,AC-25G-AOC-02,25G SFP28 Active Optical Cable 2M,,$423,$296
AVPro Edge,AC-25G-AOC-03,AC-25G-AOC-03,25G SFP28 Active Optical Cable 3M,,$466,$326
AVPro Edge,AC-25G-SFP28-MM,AC-25G-SFP28-MM,25G SFP28 Multi-Mode Fiber Module,,$346,$242
AVPro Edge,AC-25G-SFP28-SM,AC-25G-SFP28-SM,25G SFP28 Multi-Mode Fiber Module,,$423,$296
AVPro Edge,AC-40G-AOC-01,AC-40G-AOC-01,40G QSFP+ Active Optical Cable 1m,,$680,$476
AVPro Edge,AC-40G-AOC-02,AC-40G-AOC-02,40G QSFP+ Active Optical Cable 2m,,$723,$506
AVPro Edge,AC-40G-AOC-03,AC-40G-AOC-03,40G QSFP+ Active Optical Cable 3m,,$765,$536
AVPro Edge,AC-40G-BOC-01,AC-40G-BOC-01,40G QSFP+ Breakout Cable 1m,,$765,$536
AVPro Edge,AC-40G-BOC-02,AC-40G-BOC-02,40G QSFP+ Breakout Cable 2m,,$808,$566
AVPro Edge,AC-40G-BOC-03,AC-40G-BOC-03,40G QSFP+ Breakout Cable 3m,,$851,$596
AVPro Edge,AC-AEX-DEARC-KIT,AC-AEX-DEARC-KIT,Point to point audio extender using eARC over a singl category cable,,$840,$588
AVPro Edge,AC-AEX-KIT,AC-AEX-KIT,130m Stereo/Digital Audio Extender over CAT5e built in DAC (Toslink/LR),,$413,$289
AVPro Edge,AC-AEX-R,AC-AEX-R,Audio Extender Receiver Only,,$194,$135
AVPro Edge,AC-AEX-RC-HUB,AC-AEX-RC-HUB,Audio Receiver Hub with 8 AEX inputs and 4 Stereo Inputs with 12 Stereo Outputs ,,"$1,966","$1,376"
AVPro Edge,AC-AEX-T,AC-AEX-T,Audio Extender Transmitter Only,,$194,$135
AVPro Edge,AC-AVDM-V3,AC-AVDM-V3,"Multi Channel Audio Downmixer with ARC, Dual HDMI Out (one scaled), Dolby Digital (7.1) and DTS (7.1). Atmos/DTS-X Downmix and deembed bitstream audio (Full HDR, 4K60 4:4:4). ",Replacement for AC-AVDM-AUHD,"$1,213",$849
AVPro Edge,AC-AXION-4,AC-AXION-4,"18Gbps 4x4 HDBaseT/HDMI Matrix Switch with ICT and Uncompressed mirrored HDMI, IR Routing, Encapsulated RS232 Command Routing, Audio Matrixing, Scalers, EDID Management, Audio Delay. IR, RS232 and Ethernet Control, Full HDR, 4K60 4:4:4; grounded chassis; 2 U model; with 7.1 Downmixing.",,"$6,908","$4,835"
AVPro Edge,AC-AXION-8,AC-AXION-8,"18Gbps 8x8 HDBaseT/HDMI Matrix Switch with ICT and Uncompressed mirrored HDMI, IR Routing, Encapsulated RS232 Command Routing, Audio Matrixing, Scalers, EDID Management, Audio Delay. IR, RS232 and Ethernet Control, Full HDR, 4K60 4:4:4; grounded chassis; 2 U model; with 7.1 Downmixing.",,"$16,848","$11,794"
AVPro Edge,AC-AXION-IN-AUDIO,AC-AXION-IN-AUDIO,x2 Audio Only Input Card for the AXION-X Chassis. With 2Ch and TOSLINK inputs. ,For AC-AXION-X,$523,$366
AVPro Edge,AC-AXION-IN-AUHD,AC-AXION-IN-AUHD,x2 HDMI Inputs with x2 Loopouts - 18Gbps 4K60 4:4:4,For AC-AXION-X,$523,$366
AVPro Edge,AC-AXION-IN-AVDM,AC-AXION-IN-AVDM,x2 HDMI Inputs with x2 Loopouts - 18Gbps 4K60 4:4:4 with 7.1 Downmixing,For AC-AXION-X,"$1,493","$1,045"
AVPro Edge,AC-AXION-IN-HDBT,AC-AXION-IN-HDBT,x2 HDbaseT Inputs with x1 Loopout - 18Gbps 4K60 4:4:4,For AC-AXION-X,"$1,073",$751
AVPro Edge,AC-AXION-IN-MCS,AC-AXION-IN-MCS,x2 HDMI Inputs with MCS - 18Gbps 4K60 4:4:4 (2CH Audio Only),For AC-AXION-X,$960,$672
AVPro Edge,AC-AXION-OUT-AUHD,AC-AXION-OUT-AUHD,x2 HDMI Outputs - 18Gbps 4K60 4:4:4,For AC-AXION-X,$523,$366
AVPro Edge,AC-AXION-OUT-HDBT,AC-AXION-OUT-HDBT,x2 HDBaseT Outputs - 18Gbps 4K60 4:4:4 (ICT Support),For AC-AXION-X,"$1,404",$983
AVPro Edge,AC-AXION-OUT-HDBT-L,AC-AXION-OUT-HDBT-L,"x2 HDBaseT Outputs - 18Gbps 4K60 4:4:4 (ICT Support, No CEC)",For AC-AXION-X,"$1,584","$1,109"
AVPro Edge,AC-AXION-OUT-MCS,AC-AXION-OUT-MCS,x2 HDMI Outputs with MCS - 18Gbps 4K60 4:4:4 (2CH Audio Only),For AC-AXION-X,$960,$672
AVPro Edge,AC-AXION-X,AC-AXION-X,Empty Modular 16x16 HDBaseT/HDMI Chassis ,,"$11,074","$7,752"
AVPro Edge,AC-BT01-AUHD,AC-BT01-AUHD,Bullet Train 1 Metre HDMI Cable (3.2FT) - 18Gbps Ultra High Speed,,$40,$28
AVPro Edge,AC-BT01-AUHD-MP,AC-BT01-AUHD-MP,Bullet Train 1 Metre HDMI Cable (3.2FT) - 18Gbps Ultra High Speed Masterpack- QTY 50,,"$1,886","$1,320"
AVPro Edge,AC-BT02-AUHD,AC-BT02-AUHD,Bullet Train 2 Metre HDMI Cable (6.5FT) - 18Gbps Ultra High Speed,,$56,$39
AVPro Edge,AC-BT02-AUHD-MP,AC-BT02-AUHD-MP,Bullet Train 2 Metre HDMI Cable (6.5FT) - 18Gbps Ultra High Speed Masterpack- QTY 50,,"$2,641","$1,849"
AVPro Edge,AC-BT03-AUHD,AC-BT03-AUHD,Bullet Train 3 Metre HDMI Cable (9.8FT) - 18Gbps Ultra High Speed,,$64,$44
AVPro Edge,AC-BT03-AUHD-MP,AC-BT03-AUHD-MP,Bullet Train 3 Metre HDMI Cable (9.8FT) - 18Gbps Ultra High Speed Masterpack- QTY 50,,"$3,018","$2,113"
AVPro Edge,AC-BT04-AUHD,AC-BT04-AUHD,Bullet Train 4 Metre HDMI Cable (13.1FT) - 18Gbps Ultra High Speed,,$71,$50
AVPro Edge,AC-BT04-AUHD-MP,AC-BT04-AUHD-MP,Bullet Train 4 Metre HDMI Cable (13.1FT) - 18Gbps Ultra High Speed Masterpack- QTY 50,,"$3,395","$2,377"
AVPro Edge,AC-BT05-AUHD,AC-BT05-AUHD,Bullet Train 5 Metre HDMI Cable (16.4FT) - 18Gbps Ultra High Speed,,$87,$61
AVPro Edge,AC-BT05-AUHD-MP,AC-BT05-AUHD-MP,Bullet Train 5 Metre HDMI Cable (16.4FT) - 18Gbps Ultra High Speed Masterpack- QTY 50,,"$4,150","$2,905"
AVPro Edge,AC-BT08-AUHD,AC-BT08-AUHD,Bullet Train 8 Metre HDMI (26.2FT) - 18Gbps Ultra High Speed Directional Cable,,$234,$164
AVPro Edge,AC-BT08-AUHD-MP,AC-BT08-AUHD-MP,Bullet Train 8 Metre HDMI (26.2FT) - 18Gbps Ultra High Speed Directional Cable Masterpack- QTY 25,,"$5,565","$3,895"
AVPro Edge,AC-BT10-AUHD,AC-BT10-AUHD,Bullet Train 10 Metre HDMI Cable (32.8FT) - 18Gbps Ultra High Speed Directional Cable,,$274,$192
AVPro Edge,AC-BT10-AUHD-MP,AC-BT10-AUHD-MP,Bullet Train 10 Metre HDMI Cable (32.8FT) - 18Gbps Ultra High Speed Directional Cable Masterpack- QTY 25,,"$6,508","$4,555"
AVPro Edge,AC-BT-10KUHD-003,AC-BT-10KUHD-003,"Bullet Train 0.3 Metre HDMI Cable (1FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG",,$48,$34
AVPro Edge,AC-BT-10KUHD-003-MP,AC-BT-10KUHD-003-MP,"Bullet Train 0.3 Metre HDMI Cable (1FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG Masterpack- QTY 37",,"$1,743","$1,220"
AVPro Edge,AC-BT-10KUHD-005,AC-BT-10KUHD-005,"Bullet Train 0.5 Metre HDMI Cable (1.6FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG",,$52,$37
AVPro Edge,AC-BT-10KUHD-005-MP,AC-BT-10KUHD-005-MP,"Bullet Train 0.5 Metre HDMI Cable (1.6FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG Masterpack- QTY 37",,"$1,918","$1,342"
AVPro Edge,AC-BT-10KUHD-007,AC-BT-10KUHD-007,"Bullet Train 0.7 Metre HDMI Cable (2.3FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG",,$57,$40
AVPro Edge,AC-BT-10KUHD-007-MP,AC-BT-10KUHD-007-MP,"Bullet Train 0.7 Metre HDMI Cable (2.3FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG Masterpack- QTY 37",,"$2,076","$1,453"
AVPro Edge,AC-BT-10KUHD-010,AC-BT-10KUHD-010,"Bullet Train 1 Metre HDMI Cable (3.3FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG",,$61,$43
AVPro Edge,AC-BT-10KUHD-010-MP,AC-BT-10KUHD-010-MP,"Bullet Train 1 Metre HDMI Cable (3.3FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG Masterpack- QTY 30",,"$1,800","$1,260"
AVPro Edge,AC-BT-10KUHD-015,AC-BT-10KUHD-015,"Bullet Train 1.5 Metre HDMI Cable (5FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG",,$65,$46
AVPro Edge,AC-BT-10KUHD-015-MP,AC-BT-10KUHD-015-MP,"Bullet Train 1.5 Metre HDMI Cable (5FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG Masterpack- QTY 22",,"$1,414",$990
AVPro Edge,AC-BT-10KUHD-020,AC-BT-10KUHD-020,"Bullet Train 2 Metre HDMI Cable (6.5FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG",,$70,$49
AVPro Edge,AC-BT-10KUHD-020-MP,AC-BT-10KUHD-020-MP,"Bullet Train 2 Metre HDMI Cable (6.5FT) - 10K (48Gbps) VRR,FRL, eARC - 30 AWG Masterpack- QTY 22",,"$1,514","$1,060"
AVPro Edge,AC-BT-10KUHD-030,AC-BT-10KUHD-030,"Bullet Train 3 Metre HDMI Cable (9.8FT) - 10K (48Gbps) VRR,FRL, eARC - 28 AWG",,$87,$61
AVPro Edge,AC-BT-10KUHD-030-MP,AC-BT-10KUHD-030-MP,"Bullet Train 3 Metre HDMI Cable (9.8FT) - 10K (48Gbps) VRR,FRL, eARC - 28 AWG Masterpack- QTY 16",,"$1,371",$960
AVPro Edge,AC-BT-10KUHD-040,AC-BT-10KUHD-040,"Bullet Train 4 Metre HDMI Cable (13FT) - 10K (48Gbps) VRR,FRL, eARC - 26 AWG",,$153,$107
AVPro Edge,AC-BT-10KUHD-040-MP,AC-BT-10KUHD-040-MP,"Bullet Train 4 Metre HDMI Cable (13FT) - 10K (48Gbps) VRR,FRL, eARC - 26 AWG Masterpack- QTY 15",,"$2,267","$1,587"
AVPro Edge,AC-BT15-AUHD,AC-BT15-AUHD,Bullet Train 15 Metre HDMI Cable (49.21FT) - 18Gbps Ultra High Speed Directional Cable,,$353,$247
AVPro Edge,AC-BT15-AUHD-MP,AC-BT15-AUHD-MP,Bullet Train 15 Metre HDMI Cable (49.21FT) - 18Gbps Ultra High Speed Directional Cable Masterpack- QTY 10,,"$3,358","$2,350"
AVPro Edge,AC-BTJUMP-AUHD,AC-BTJUMP-AUHD,Bullet Train .5 (Half) Metre HDMI Jumper Cable (1.6FT) - 18Gbps Ultra High Speed,,$36,$25
AVPro Edge,AC-BTJUMP-AUHD-MP,AC-BTJUMP-AUHD-MP,Bullet Train .5 (Half) Metre HDMI Jumper Cable (1.6FT) - 18Gbps Ultra High Speed Masterpack- QTY 100,,"$3,395","$2,377"
