Manufacturer,Part Number,Short Description,Unit of Measure,NZD MSRP,Dealer's Cost Column 1,Description of Cost for Column 1,Column1,Column2,Column3,Column4,Column5,Column6,Column7,UL/ETL Listed,Currency,DIM Weight,Weight Unit of Measure,SKU/UPC,Model Name,Long Description,Other Description,Serialized Item,Not Available for Sale,Item Status,Manufacturer's Category,Replacement Item Part Number,Replacement Item Model Name,Required Accessories,Optional Accessories,MAP (Minimum Advertised Price),GSA Cost Price,GSA Sell Price,Discount-Off List,Freight Policy,FOB/Ex-works,Freight Class,Drop Ship Y/N?,U.S Energy Star Y/N?,TAA Compliant Y/N?,Certificate of Origin,URL/Link,Manufacturer's Division,InfoComm iQ Category,InfoComm Member Number,Notes,,,
Biamp Systems,911.0693.900,Apprimo TEC-X 1000 Black,EA,1120,672,NZD MSRP - 40%,,,,,,,,Y,NZD,,Kg,,Apprimo TEC-X 1000 Black,"Touch-enabled control pad with knob, black",Control Pads,y,n,Current,Apprimo,,,Current version of Software,"Biamp Canvas, SageVue",1120,,,,,PO,Standard Freight,n,n,y,U.S.A.,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,911.0692.900,Apprimo TEC-X 1000 White,EA,1120,672,NZD MSRP - 40%,,,,,,,,Y,NZD,,Kg,,Apprimo TEC-X 1000 White,"Touch-enabled control pad with knob, white",Control Pads,y,n,Current,Apprimo,,,Current version of Software,"Biamp Canvas, SageVue",1120,,,,,PO,Standard Freight,n,n,y,U.S.A.,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,911.0869.900,Apprimo TEC-X 2000 Black,EA,1010,606,NZD MSRP - 40%,,,,,,,,Y,NZD,,Kg,,Apprimo TEC-X 2000 Black,"Touch-enabled control pad, black",Control Pads,y,n,Current,Apprimo,,,Current version of Software,"Biamp Canvas, SageVue",1010,,,,,PO,Standard Freight,n,n,y,U.S.A.,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,911.0862.900,Apprimo TEC-X 2000 White,EA,1010,606,NZD MSRP - 40%,,,,,,,,Y,NZD,,Kg,,Apprimo TEC-X 2000 White,"Touch-enabled control pad, white",Control Pads,y,n,Current,Apprimo,,,Current version of Software,"Biamp Canvas, SageVue",1010,,,,,PO,Standard Freight,n,n,y,U.S.A.,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,911.1842.900,Apprimo TEC-X-TM Black,EA,407,244,NZD MSRP - 40%,,,,,,,,N,NZD,,Kg,,Apprimo TEC-X-TM Black,"TEC-X Table Mount, Black",Mounts,n,n,Current,Apprimo,,,,,407,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,911.1843.900,Apprimo TEC-X-TM White,EA,407,244,NZD MSRP - 40%,,,,,,,,N,NZD,,Kg,,Apprimo TEC-X-TM White,"TEC-X Table Mount, White",Mounts,n,n,Current,Apprimo,,,,,407,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,910.1873.900,Apprimo Touch 10,EA,3217,1930,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,Apprimo Touch 10,"10"" touch panel, black",Touch Panels,y,n,Current,Apprimo,,,,Project Designer,3217,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,910.1874.900,Apprimo Touch 4,EA,1653,992,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,Apprimo Touch 4,"4"" touch panel, black",Touch Panels,y,n,Current,Apprimo,,,,Project Designer,1653,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,910.1871.900,Apprimo Touch 7 Black,EA,2300,1380,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,Apprimo Touch 7 Black,"7"" touch panel, black",Touch Panels,y,n,Current,Apprimo,,,,Project Designer,2300,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,910.1872.900,Apprimo Touch 7 White,EA,2300,1380,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,Apprimo Touch 7 White,"7"" touch panel, white",Touch Panels,y,n,Current,Apprimo,,,,Project Designer,2300,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
