StockCode,Vendor,VendorStockCode,StockDescription,PrimaryCategory,SecondaryCategory,TertiaryCategory,RRPEx,DealerEx,StockAvailable,ETA,Status,Type,BundledItem1,BundledItem2,BundledItem3,BundledItem4,BundledItem5
00MN505,LENOVO,00MN505,"LENOVO 3M LC-LC OM3 MMF CABLE","SERVERS","OPTIONS","OPTICAL","65.00","49.48",0,TBA,A,StockedItem,,,,,
00MN508,LENOVO,00MN508,"LENOVO 5M LC-LC OM3 MMF CABLE","SERVERS","OPTIONS","OPTICAL","70.00","53.29",0,TBA,A,StockedItem,,,,,
00NA043,LENOVO,00NA043,"LENOVO 2.8M 10A/230V C13 TO AS/NZS 3112 (AUS/NZ) LINE CORD","SERVERS","OPTIONS","POWER CORD - LINE","105.00","79.94",3,,A,StockedItem,,,,,
00NV419,LENOVO,00NV419,"LENOVO HD-SAS TO MINI-SAS CABLE","STORAGE","SAN","CABLES","540.00","411.13",0,TBA,A,StockedItem,,,,,
00NV420,LENOVO,00NV420,"LENOVO Y-SAS HD TO MINI-SAS CABLE","STORAGE","OPTIONS","CABLE","550.00","418.75",0,TBA,A,StockedItem,,,,,
00NV426,LENOVO,00NV426,"LENOVO 6160 RACK MOUNT SHELF KIT W/PDU LINE CORD","STORAGE","OPTIONS","SHELF","515.00","392.10",0,TBA,A,StockedItem,,,,,
00WE135,LENOVO,00WE135,"LENOVO 1.5M CAT6 GREEN CABLE","SERVERS","OPTIONS","ETHERNET","72.00","54.81",0,TBA,A,StockedItem,,,,,
00WE139,LENOVO,00WE139,"LENOVO 3M CAT6 GREEN CABLE","SERVERS","OPTIONS","ETHERNET","80.00","60.90",0,TBA,A,StockedItem,,,,,
00Y3043,LENOVO,00Y3043,"LENOVO 1.0M C13 TO C14 JUMPER CORD, RACK POWER CABLE","SERVERS","OPTIONS","POWER CORD - RACK","72.00","54.81",0,TBA,A,StockedItem,,,,,
00YL847,LENOVO,00YL847,"LENOVO EXTERNAL MINISAS HD 8644/MINISAS HD 8644 0.5M CABLE","SERVERS","OPTIONS","CABLE - SAS","155.00","118.01",0,TBA,A,StockedItem,,,,,
00YL848,LENOVO,00YL848,"LENOVO EXTERNAL MINISAS HD 8644/MINISAS HD 8644 1M CABLE","SERVERS","OPTIONS","CABLE - SAS","182.00","138.56",0,TBA,A,StockedItem,,,,,
00YL849,LENOVO,00YL849,"LENOVO EXTERNAL MINISAS HD 8644/MINISAS HD 8644 2M CABLE","SERVERS","OPTIONS","CABLE - SAS","204.00","155.31",0,TBA,A,StockedItem,,,,,
00YL850,LENOVO,00YL850,"LENOVO EXTERNAL MINISAS HD 8644/MINISAS HD 8644 3M CABLE","SERVERS","OPTIONS","CABLE - SAS","213.00","162.17",0,TBA,A,StockedItem,,,,,
01CV750,LENOVO,01CV750,"LENOVO QLOGIC 16GB ENHANCED GEN5 FC SINGLE-PORT HBA","SERVERS","OPTIONS","FC HBA","2542.00","1935.38",0,TBA,A,StockedItem,,,,,
01CV760,LENOVO,01CV760,"LENOVO QLOGIC 16GB ENHANCED GEN5 FC DUAL-PORT HBA","SERVERS","OPTIONS","FC HBA","3492.00","2658.68",0,TBA,A,StockedItem,,,,,
01CV830,LENOVO,01CV830,"LENOVO EMULEX 16GB GEN6 FC SINGLE-PORT HBA","SERVERS","OPTIONS","FC HBA","2435.00","1853.92",0,TBA,A,StockedItem,,,,,
01CV840,LENOVO,01CV840,"LENOVO EMULEX 16GB GEN6 FC DUAL-PORT HBA","SERVERS","OPTIONS","FC HBA","3345.00","2546.76",0,TBA,A,StockedItem,,,,,
01DC402,LENOVO,01DC402,"LENOVO STORAGE 1.8TB 10K 2.5"" SAS HDD","STORAGE","DISK","2.5"" HDD","1345.00","1024.03",0,TBA,A,StockedItem,,,,,
01KP956,LENOVO,01KP956,"ULTRIUM 8 DATA CARTRIDGE (SINGLE)","STORAGE","ULTRIUM 8","CARTIDGE","223.00","169.78",0,TBA,A,StockedItem,,,,,
01-SSC-0027,SONICWALL,01-SSC-0027,"SONICWALL SATA STORAGE 1TB FOR NSA 2650/3650/4650/5650/6650/9250/9450/9650 FIREWALLS","NETWORKING",,"HARDWARE","2037.00","1501.00",0,TBA,A,StockedItem,,,,,
01-SSC-0121,SONICWALL,01-SSC-0121,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 9250 1YR","NETWORKING",,"SOFTWARE","30157.00","22230.00",999999999,,A,StockedItem,,,,,
01-SSC-0225,SONICWALL,01-SSC-0225,"SONICWALL TZ600 RACK MOUNT KIT","NETWORKING","TZ600","HARDWARE","408.00","301.00",0,TBA,A,StockedItem,,,,,
01-SSC-0228,SONICWALL,01-SSC-0228,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ600 SERIES 1YR","NETWORKING",,"SOFTWARE","2353.00","1735.00",999999999,,A,StockedItem,,,,,
01-SSC-0234,SONICWALL,01-SSC-0234,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ600 SERIES 1YR","NETWORKING",,"SOFTWARE","2568.00","1893.00",999999999,,A,StockedItem,,,,,
01-SSC-0258,SONICWALL,01-SSC-0258,"COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ600 SERIES 1YR","NETWORKING","TZ600","LICENSING","4615.00","3402.00",0,TBA,A,StockedItem,,,,,
01-SSC-0264,SONICWALL,01-SSC-0264,"STATEFUL HA UPGRADE FOR TZ600 SERIES","NETWORKING",,"SOFTWARE","1309.00","965.00",999999999,,A,StockedItem,,,,,
01-SSC-0265,SONICWALL,01-SSC-0265,"HA CONVERSION LICENSE TO STANDALONE UNIT FOR TZ600 SERIES","NETWORKING","TZ600","LICENSING","1031.00","760.00",0,TBA,A,StockedItem,,,,,
01-SSC-0266,SONICWALL,01-SSC-0266,"EXPANDED LICENSE FOR TZ600 SERIES","NETWORKING",,"SOFTWARE","1786.00","1317.00",999999999,,A,StockedItem,,,,,
01-SSC-0280,SONICWALL,01-SSC-0280,"SONICWALL TZ600 FRU POWER SUPPLY","NETWORKING","TZ600","HARDWARE","73.00","54.00",0,TBA,A,StockedItem,,,,,
01-SSC-0331,SONICWALL,01-SSC-0331,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 9250 1YR","NETWORKING",,"SOFTWARE","36188.00","26676.00",999999999,,A,StockedItem,,,,,
01-SSC-0343,SONICWALL,01-SSC-0343,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 9250 1YR","NETWORKING",,"SOFTWARE","33173.00","24453.00",999999999,,A,StockedItem,,,,,
01-SSC-0406,SONICWALL,01-SSC-0406,"HA CONVERSION LICENSE TO STANDALONE UNIT FOR NSA 9250","NETWORKING","NSA 9250","LICENSING","24089.00","17757.00",0,TBA,A,StockedItem,,,,,
01-SSC-0438,SONICWALL,01-SSC-0438,"SONICWALL TZ500 SERIES RACK MOUNT KIT","NETWORKING","TZ500","HARDWARE","408.00","301.00",0,TBA,A,StockedItem,,,,,
01-SSC-0458,SONICWALL,01-SSC-0458,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ500 SERIES 1YR","NETWORKING",,"SOFTWARE","1781.00","1313.00",999999999,,A,StockedItem,,,,,
01-SSC-0464,SONICWALL,01-SSC-0464,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ500 SERIES 1YR","NETWORKING",,"SOFTWARE","2106.00","1553.00",999999999,,A,StockedItem,,,,,
01-SSC-0482,SONICWALL,01-SSC-0482,"COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ500 SERIES 1YR","NETWORKING",,"SOFTWARE","3237.00","2386.00",999999999,,A,StockedItem,,,,,
01-SSC-0488,SONICWALL,01-SSC-0488,"COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 1YR","NETWORKING","TZ500","LICENSING","3835.00","2827.00",0,TBA,A,StockedItem,,,,,
01-SSC-0494,SONICWALL,01-SSC-0494,"STATEFUL HA UPGRADE FOR TZ500 SERIES","NETWORKING",,"SOFTWARE","991.00","730.00",999999999,,A,StockedItem,,,,,
01-SSC-0501,SONICWALL,01-SSC-0501,"HA CONVERSION LICENSE TO STANDALONE UNIT FOR TZ500 SERIES","NETWORKING","TZ500","LICENSING","780.00","575.00",0,TBA,A,StockedItem,,,,,
01-SSC-0502,SONICWALL,01-SSC-0502,"EXPANDED LICENSE FOR TZ500 SERIES","NETWORKING",,"SOFTWARE","1352.00","997.00",999999999,,A,StockedItem,,,,,
01-SSC-0522,SONICWALL,01-SSC-0522,"SONICWALL TZ400 WIRELESS-AC INTL NFR","NETWORKING","NFR","TZ SERIES","1148.00","1226.00",0,TBA,A,StockedItem,,,,,
01-SSC-0525,SONICWALL,01-SSC-0525,"SONICWALL TZ400 SERIES RACK MOUNT KIT","NETWORKING","TZ400","HARDWARE","366.00","270.00",0,TBA,A,StockedItem,,,,,
01-SSC-0534,SONICWALL,01-SSC-0534,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ400 SERIES 1YR","NETWORKING",,"SOFTWARE","2028.00","1495.00",999999999,,A,StockedItem,,,,,
01-SSC-0540,SONICWALL,01-SSC-0540,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ400 SERIES 1YR","NETWORKING",,"SOFTWARE","1846.00","1361.00",999999999,,A,StockedItem,,,,,
01-SSC-0567,SONICWALL,01-SSC-0567,"COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ400 SERIES 1YR","NETWORKING","TZ400","LICENSING","2965.00","2186.00",0,TBA,A,StockedItem,,,,,
01-SSC-0573,SONICWALL,01-SSC-0573,"EXPANDED LICENSE FOR TZ400 SERIES","NETWORKING",,"SOFTWARE","716.00","528.00",999999999,,A,StockedItem,,,,,
01-SSC-0632,SONICWALL,01-SSC-0632,"COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ300P 1YR","NETWORKING","TZ300","LICENSING","1275.00","940.00",0,TBA,A,StockedItem,,,,,
01-SSC-0709,SONICWALL,01-SSC-0709,"SONICWALL TZ400, TZ300, SOHO SERIES FRU POWER SUPPLY","NETWORKING","TZ400","HARDWARE","73.00","54.00",0,TBA,A,StockedItem,,,,,
01-SSC-0742,SONICWALL,01-SSC-0742,"SONICWALL TZ350, TZ300 SERIES RACK MOUNT KIT","NETWORKING","TZ300","HARDWARE","366.00","270.00",0,TBA,A,StockedItem,,,,,
01-SSC-0744,SONICWALL,01-SSC-0744,"SONICWALL TZ300/TZ400/TZ500/TZ600 SERIES USB SECURITY CLAMP","NETWORKING","TZ600","HARDWARE","63.00","47.00",0,TBA,A,StockedItem,,,,,
