"Brand","Mftr Code","Description","Long Description","Dove Code","Price","Qty","Category 1","Category 2","Image URL","Product URL","Barcode","Current Due Date"
"SilverStone","SST-ECS06","SIlverstone ECS06 SATA III PCI Express card 6-port","PCIe Gen3 x2 with ASMedia ASM1166 SATA host controller (AHCI)
Compliant with AHCI Specification Rev. 1.4
Support six SATA Gen3 (6Gbps) ports
Support SATA port multiplier command based switching
Support device sleep power management
Low profile design","AC813","112.90","9","IO Cards","Unspecified","https://www.dove.co.nz/images/products/22527-181577.jpg","https://www.dove.co.nz/jump/22527","4710679811437","0 day(s)"
"Digitus","DS-30040-2","Digitus PCIe Interface Card 2xSerial 1xParallel","PCI Express I/O controller Card With low profile brackets, Multi-I/O PCIe card, 2x DB9 serial ports, UART16C450/550, 1x DB25 parallel port, Windows 8, 7, Vista, XP, Server 2003, Win 10 driver http://ftp.assmann.com/pub/DS-/DS-30040-2___4016032317760/DS-30040-2_driver_Driver%20Win10_20160728.rar
","AC825","52.40","9","IO Cards","Unspecified","https://www.dove.co.nz/images/products/3356-411037.jpg","https://www.dove.co.nz/jump/3356","4016032317760","0 day(s)"
"Brateck","LDT12-C02V","Brateck 13-32"" Dual Vertical Articulating Monitor","BRATECK 13""-32"" Dual Vertical Articulating Monitor Stand. Max Load 8kgs per Monitor. Rotate, Tilt & Swivel. Clamp & Grommet Option Height Adjustable. Buit in Cable Mangement. VESA 75x75 & 100x100
","AF1001","50.00","0","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/23899-391359.jpg","https://www.dove.co.nz/jump/23899","","5 day(s)"
"Brateck","LPA57-466A.BK","Brateck Cantilever 37-80"" LCD Wall Mount Bracket","Cantilever Bracket, Full motion arm, Tilt & Swivel, 37-80"", 70kg max, 64-510mm Profile, Max VESA 600x400. Dual Stud Installation. Curved Display Compatible.","AF1010","197.49","0","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/23960-1514610.jpg","https://www.dove.co.nz/jump/23960","3962728373538","5 day(s)"
"Brateck","PLB-CE946-01L","Brateck 37-70' Ceiling Mount Bracket 50kg Max","BRATECK 37''-70'' Ceiling Mount Bracket. Max Load: 50Kgs. VESA support up to: 600x400. Profile: 1060-1560mm. Hidden cable management. Colour: Slate black.","AF1015","92.50","0","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/24040-30162211.jpg","https://www.dove.co.nz/jump/24040","","0 day(s)"
"Viewsonic","VG1655","ViewSonic VG1655 15.6"" FHD USB Type-C Portable Monitor","15.6"" IPS Panel, FHD 1920 x 1080 Res, 6.5ms Response, 1xMini HDMI 2 , 2xUSB 3.2 GEN 1 Type-C, 2x0.8W Speakers, 0.8kg, 355 x 223 x 16mm","AF1655","465.00","1","Monitors","Unspecified","https://www.dove.co.nz/images/products/21995-310309.jpg","https://www.dove.co.nz/jump/21995","766907007091","40 day(s)"
"Viewsonic","TD1655","ViewSonic TD1655 15.6"" FHD USB Type-C Portable Touch Monitor","15.6"" 10-point touch projective capacitive panel, FHD 1920 x 1080 Res, 6.5ms Response, 1xMini HDMI 2 , 2xUSB 3.2 GEN 1 Type-C, 2x0.8W Speakers, 0.8kg, 355 x 223 x 16mm","AF1656","655.00","0","Monitors","Touchscreens","https://www.dove.co.nz/images/products/21996-1910309.jpg","https://www.dove.co.nz/jump/21996","766907007077","0 day(s)"
"Viewsonic","VA2432-MHD","ViewSonic VA2432-MHD 24"" 1920x1080 FHD IPS Monitor VGA HDMI DP 75Hz","23.8"" Anti Glare IPS panel, FHD Max Res, 1xVGA 1xHDMI 1xDP, Speakers, VESA 75x75mm, Blue-Light Filter, Flicker-Free, 3 yr Warranty
Frameless Design, Freesync Adaptive Sync 48 - 75Hz.
Includes HDMI cable

SCREEN NEEDS SPECIAL SCREWS IF MOUNTING - 4x 6mm screws required. Most VESA mounts only come with 14mm screws.","AF2432","238.00","101","Monitors","Unspecified","https://www.dove.co.nz/images/products/21478-010115.jpg","https://www.dove.co.nz/jump/21478","766907007749","0 day(s)"
"Viewsonic","VG2440V","ViewSonic VG2440V 24"" 1920x1080 VGA HDMI DP Webcam","23.8""  IPS panel, Full HD 1920x1080 Max Res, 5ms Response, 1xVGA 1xHDMI 1xDisplay Port, 2xUSB, 2x2W Speakers, VESA 100mm, 1XDisplay Port Cable, 3yr Warranty
2 MP Webcam","AF2440V","444.00","0","Monitors","Unspecified","https://www.dove.co.nz/images/products/22345-11765.jpg","https://www.dove.co.nz/jump/22345","766907009644","40 day(s)"
"Viewsonic","VG2448","ViewSonic VG2448 24"" 1920x1080 HDMI DP Ergo Monitor","23.8""  IPS panel, Full HD 1920x1080 Max Res, 14ms Response, 1xHDMI 1xDisplay Port, 4xUSB, 2x2W Speakers, VESA 100mm, 1XDisplay Port Cable, 3yr Warramty, Ergo Base - Height Adjust 130mm, Swivel 120°, Pivot 90°, Tilt 5°  - 40°, Cloud client mount on stand, eco-friendly biodegradable packaging.","AF2448","289.00","101","Monitors","Unspecified","https://www.dove.co.nz/images/products/18258-310142.jpg","https://www.dove.co.nz/jump/18258","766907931112","0 day(s)"
