ProductCode,ManufacturerProductCode,ProductTitle,PriceExGST,PriceRRP,ProductCategory,StockOnHand,ProductDescription,ProductManufacturer,PromotionCode,NextAvailableStockDue
02312EHT,02312EHT,"Huawei Inverter external 4G dongle,Support 10 devices max",189.99,250.00,"PV Solar",0,"Huawei Inverter external 4G dongle,Support 10 devices at most","HUAWEI ENTERPRISE",,14/10/2021
13L54AA,13L54AA,"HP DisplayPort Port Flex IO v2",26.91,31.00,"Desktop PC Options",0,"HP DisplayPort Port Flex IO v2",HP,,
13L67AA,13L67AA,"HP Desktop Mini Dual VESA Sleeve v3",24.21,41.00,"Desktop PC Options",22,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     HP Desktop Mini Dual VESA Sleeve v3    Wrap your HP Desktop Mini PC in the HP Desktop Mini Security/Dual VESA Sleeve v3 to securely mount it with or without an Expansion Module behind your display,position the solution on a wall,and lock it down with the integrated security bracket and optional HP Ultra-Slim Cable Lock.",HP,43746797,
13L70AA,13L70AA,"HP Desktop Mini 2.5-inch SATA Drive Bay kit v2",34.74,40.00,"Desktop PC Options",0,"HP Desktop Mini 2.5-inch SATA Drive Bay kit v2 for EliteDesk 800 G6 Mini and ProDesk 400/600 G6 Mini Desktops",HP,,
13L72AA,13L72AA,"HP 32GB DDR4 3200MHz Desktop Ram Module",482.00,1050.00,"Desktop PC Options",2,"Promotional pricing on this item is available while stocks last or until 30/11/21 when purchased as a standalone item.     HP 32GB DDR4 3200MHz Desktop Ram Module",HP,43745612,
13L73AA,13L73AA,"HP 32GB DDR4 3200MHz SODIMM Desktop Ram Module",482.00,1050.00,"Desktop PC Options",1,"Promotional pricing on this item is available while stocks last or until 30/11/21 when purchased as a standalone item.     HP 32GB DDR4 3200MHz SODIMM Desktop Ram Module",HP,43745612,
13L74AA,13L74AA,"HP 16GB DDR4 3200MHz Desktop Ram Module",302.10,530.00,"Desktop PC Options",2,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP 16GB DDR4 3200MHz Desktop Ram Module",HP,43732363,21/10/2021
13L75AA,13L75AA,"HP 16GB DDR4 3200MHz SODIMM Desktop Ram Module",302.10,530.00,"Desktop PC Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP 16GB DDR4 3200MHz SODIMM Desktop Ram Module",HP,43732363,21/10/2021
13L76AA,13L76AA,"HP 8GB DDR4 3200MHz Desktop Ram Module",156.25,280.00,"Desktop PC Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP 8GB DDR4 3200MHz Desktop Ram Module",HP,43732363,21/10/2021
13L77AA,13L77AA,"HP 8GB DDR4 3200MHz SODIMM Desktop Ram Module",156.25,280.00,"Desktop PC Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP 8GB DDR4 3200MHz SODIMM Desktop Ram Module",HP,43732363,21/10/2021
13L78AA,13L78AA,"HP 4GB DDR4 3200MHz Desktop Ram Module",134.60,155.00,"Desktop PC Options",0,"HP 4GB DDR4-3200 UDIMM",HP,,
13L79AA,13L79AA,"HP 4GB DDR4 3200MHz SODIMM Desktop Ram Module",88.55,155.00,"Desktop PC Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP 4GB DDR4 3200MHz SODIMM Desktop Ram Module",HP,43732363,
14130858,14130858,"Patch Cord,DLC/PC,DLC/PC,Multi-mode,3m,DLC,OM3",14.80,19.44,"Switch Accessories",8,"Promotional pricing on this item is available while stocks last or until 31/12/21 when purchased as a standalone item.   Patch Cord,DLC/PC,DLC/PC,Multi-mode,3m,A1a.2,2mm,42mm DLC,OM3 bending insensitive","HUAWEI ENTERPRISE",HuaweiClearance,
