Ingram Part Number,Ingram Part Description,Customer Part Number,Vendor Part Number,EANUPC Code,Plant,Vendor Number,Vendor Name,Size,Weight,Volume,Unit,Category ID,Customer Price,Retail Price,Availability Flag,Available Quantity,Backlog Information,Backlog ETA,License Flag,BOM Flag,Material Long Description,Length,Width,Height,Dimension Unit,Weight Unit,Volume Unit,Category,Material Creation Reason code,Media Code,Material Language Code,Substitute Material,Manufacturer Vendor Number,Sub-Category,Product Family,Purchasing Vendor,Material Change Code,Price Status,New Material Flag,Vendor Subrange,Case Qty,Pallet Qty,Direct Order identifier,Material Status,Release Date,Fulfilment type,Music Copyright Fees,Recycling Fees,Document Copyright Fees,Battery Fees,Customer Price with Tax,Retail Price with Tax,Tax Percent,Discount in Percent,Customer Reservation Number,Customer Reservation Qty,Agreement ID,Level ID,Period,Points,Company code,Customer Currency Code,Customer Price Change Flag,Substitute Flag,Availability (Local Stock),Availability (Central Stock),Creation Reason Type,Creation Reason Value,Plant 01 Available Quantity,Plant 02 Available Quantity,VAT Rate,Product Group,MRP Controller,Shipping Country,Local Stock Backlog Quantity,Local Stock Backlog ETA,Central Stock Backlog Quantity,Central Stock Backlog ETA,Customer Price Including Fees,Total Fees,Category Description,Sub-Category Description,Category ID Description
000000000004524872,Radeon Pro WX 3200 4GB,,100-506115,727419416689,NZ01,0000500014,AMD,,0.4500,2663.0000,EA,002149,313.25,399.00,,0,0,,,,Radeon Pro WX 3200 4GB PCIE 3.0 16X 4X DP RETAIL,24.6000,16.4000,6.6000,CM,KG,CCM,021,C,,IN,,0000500014,013,AMD Components Graphics Cards,0000100317,NEW,C,,459471,0005,0000,,,,,0,0,0,0,360.24,458.85,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 313.25, 0.00,Components,Graphics Cards,AMD Graphics Cards
000000000002986405,A8 7670K 3.9 GHZ BLACK PIB,,AD767KXBJCBOX,730143305457,NZ01,0000500014,AMD,,0.3000,622.0000,EA,002347,162.67,195.00,,0,0,,,,A8 7670K 3.9 GHZ BLACK SKT FM2 L2 4MB 95W PIB,11.4000,8.8000,6.2000,CM,KG,CCM,021,C,,,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0010,0000,,,,,0,0,0,0,187.07,224.25,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 162.67, 0.00,Components,Processors,AMD Processors
000000000004395140,ATHLON 220GE 3.3GHZ.,,YD220GC6FBBOX,730143309516,NZ01,0000500014,AMD,,1.0000,1.0000,EA,002347,99.00,112.46,,0,0,,,,ATHLON 220GE 3.3GHZ SKT AM4 L2 5MB 35W PIB,1.0000,1.0000,1.0000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0000,0000,,,,,0,0,0,0,113.85,129.33,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 99, 0.00,Components,Processors,AMD Processors
000000000004395143,ATHLON 240GE 3.5GHZ,,YD240GC6FBBOX,730143309493,NZ01,0000500014,AMD,,1.0000,1.0000,EA,002347,119.00,132.91,,0,0,,,,ATHLON 240GE 3.5GHZ SKT AM4 L2 5MB 35W PIB,1.0000,1.0000,1.0000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0000,0000,,,19000101,,0,0,0,0,136.85,152.85,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 119, 0.00,Components,Processors,AMD Processors
000000000004504985,RYZEN 5 3600 WITH WRAITH STEALTH COOLER,,100-100000031BOX,730143309936,NZ01,0000500014,AMD,,0.4400,1229.0000,EA,002347,235.00,378.28,,0,0,,,,RYZEN 5 3600 6 CORE 12 THREAD 4200MHZ AM4 36MB WITH WRAITH STEALTH COOLER,13.5000,13.0000,7.0000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0010,0000,,,19000101,,0,0,0,0,270.25,435.02,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 235, 0.00,Components,Processors,AMD Processors
000000000004669276,RYZEN THREADRIPPER 3960X 24C,,100-100000010WOF,730143311885,NZ01,0000500014,AMD,,1.0500,3776.0000,EA,002347,2399.00,0.00,,0,0,,,,RYZEN THREADRIPPER 3960X 24C 4.5GHZ SKT TR4 128MB 280W WOF,19.6000,17.2000,11.2000,CM,KG,CCM,021,N,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,N,,450816,0004,0000,,,,,0,0,0,0,2758.85,0.00,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 2399, 0.00,Components,Processors,AMD Processors
000000000004669277,RYZEN THREADRIPPER 3970X 32C,,100-100000011WOF,730143311908,NZ01,0000500014,AMD,,0.7000,3694.0000,EA,002347,3399.00,0.00,,0,0,,,,RYZEN THREADRIPPER 3970X 32C 4.5GHZ SKT TR4 128MB 280W WOF,17.0000,11.2000,19.4000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0004,0000,,,,,0,0,0,0,3908.85,0.00,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 3399, 0.00,Components,Processors,AMD Processors
000000000004788696,AMD RYZEN THREADRIPPER 3990X WITHOUT COO,,100-100000163WOF,730143312110,NZ01,0000500014,AMD,,0.8000,3737.0000,EA,002347,6499.00,7199.00,,0,0,,,,AMD RYZEN THREADRIPPER 3990X WITHOUT COOLER,17.2000,11.2000,19.4000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0004,0000,,,19000101,,0,0,0,0,7473.85,8278.85,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 6499, 0.00,Components,Processors,AMD Processors
000000000005041321,RYZEN 9 5900X 4.80GHZ 12 CORE SKT AM4 WO,,100-100000061WOF,730143312738,NZ01,0000500014,AMD,,0.0500,1389.0000,EA,002347,979.00,0.00,,0,0,,,,RYZEN 9 5900X 4.80GHZ 12 CORE SKT AM4 70MB 105W WOF,13.8000,13.6000,7.4000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0004,0000,,,19000101,,0,0,0,0,1125.85,0.00,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 979, 0.00,Components,Processors,AMD Processors
000000000005041322,RYZEN 9 5950X 4.90GHZ 16 CORE SKT AM4 WO,,100-100000059WOF,730143312745,NZ01,0000500014,AMD,,0.0900,672.0000,EA,002347,1405.00,0.00,,0,0,,,,RYZEN 9 5950X 4.90GHZ 16 CORE SKT AM4 72MB 105W WOF,12.5000,11.2000,4.8000,CM,KG,CCM,021,C,,IN,,0000500014,211,AMD Components Processors,0000100317,NEW,C,,450816,0004,0000,,,19000101,,0,0,0,0,1615.75,0.00,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,Z01,NZ,0,, 0,, 1405, 0.00,Components,Processors,AMD Processors
