Product Code,Description,Dealer Price ex GST,Dealer Price inc GST,RRP ex GST,RRP inc GST,,,,,,,,,,,,,,
AMP-ACBMIC,Boundary Microphone,136.96,157.50,195.65,225.00,,,,,,,,,,,,,,
AMP-ACDTMIC,Desktop Gooseneck Microphone,79.13,91.00,113.04,130.00,,,,,,,,,,,,,,
AMP-ACFB50U12X2,1.2mm² Twin Core Flat Copper Tape - 50m Reel,289.13,332.50,413.04,475.00,,,,,,,,,,,,,,
AMP-ACLC12,Counter Loop Coil 12 turn,43.22,49.70,61.74,71.00,,,,,,,,,,,,,,
AMP-ACLP02,Counter Loop Pad,73.04,84.00,104.35,120.00,,,,,,,,,,,,,,
AMP-ATT-UJ,Universal Attenuator with 3.5 & 6.3mm Jack Cables,270.87,311.50,386.96,445.00,,,,,,,,,,,,,,
AMP-ATT-UX,Universal Attenuator with XLR Cable,301.30,346.50,430.43,495.00,,,,,,,,,,,,,,
AMP-AURI-D16,Auri Docking Station 16 Receiver Slots,1269.13,1459.50,1813.04,2085.00,,,,,,,,,,,,,,
AMP-AURI-D4,Auri Docking Station 4 Receiver Slots,757.83,871.50,1082.61,1245.00,,,,,,,,,,,,,,
AMP-AURI-DK1-E9,Auri Demo Kit,7118.70,8186.50,10169.57,11695.00,,,,,,,,,,,,,,
AMP-AURI-RX1,Auri Receiver,453.48,521.50,647.83,745.00,,,,,,,,,,,,,,
AMP-AURI-TX2N,Auri 2 Channel Transmitter,2577.83,2964.50,3682.61,4235.00,,,,,,,,,,,,,,
AMP-AURI-TX2N-D,Auri 2 Channel Transmitter w/ Dante,3156.09,3629.50,4508.70,5185.00,,,,,,,,,,,,,,
AMP-BPL-1U,Blanking Plate 1RU half width,43.22,49.70,61.74,71.00,,,,,,,,,,,,,,
AMP-BPS-1U,Blanking Plate 1RU quarter width,28.00,32.20,40.00,46.00,,,,,,,,,,,,,,
AMP-BRP-1U,Blank Rack Panel 1U Full width rack fitting,52.96,60.90,75.65,87.00,,,,,,,,,,,,,,
AMP-C10-1D,Perimeter Hearing Loop Driver 10A 230v Dante,2663.04,3062.50,3804.35,4375.00,,,,,,,,,,,,,,
AMP-C10-1N,Perimeter Hearing Loop Driver 10A 230v Networked,2206.52,2537.50,3152.17,3625.00,,,,,,,,,,,,,,
AMP-C10-2D,Multiloop Hearing Loop Driver 10A 230v Dante,5152.61,5925.50,7360.87,8465.00,,,,,,,,,,,,,,
AMP-C10-2N,Multiloop Hearing Loop Driver 10A 230v Networked,4702.17,5407.50,6717.39,7725.00,,,,,,,,,,,,,,
AMP-C14-2D,Multiloop Hearing Loop Driver 14A 230v Dante,5980.43,6877.50,8543.48,9825.00,,,,,,,,,,,,,,
AMP-C14-2N,Multiloop Hearing Loop Driver 14A 230v Networked,5548.26,6380.50,7926.09,9115.00,,,,,,,,,,,,,,
AMP-C5-1,Perimeter Hearing Loop Driver C-Series 5 Arms; Class D Amp; 1RU 2.5kg,1214.35,1396.50,1734.78,1995.00,,,,,,,,,,,,,,
AMP-C5-1D,Perimeter Hearing Loop Driver 5A 230v Dante,1877.83,2159.50,2682.61,3085.00,,,,,,,,,,,,,,
AMP-C5-1N,Perimeter Hearing Loop Driver C-Series 5 Arms Networked; Class D Amp; 1RU 2.5kg,1427.39,1641.50,2039.13,2345.00,,,,,,,,,,,,,,
AMP-C5-2,Multiloop Hearing Loop Driver C-Series 5 Arms; Class D Amp; 1RU 2.8kg,2504.78,2880.50,3578.26,4115.00,,,,,,,,,,,,,,
AMP-C5-2D,Multiloop Hearing Loop Driver 5A 230v Dante,3369.13,3874.50,4813.04,5535.00,,,,,,,,,,,,,,
AMP-C5-2N,Multiloop Hearing Loop Driver C-Series 5 Arms Networked; Class D Amp; 1RU 2.8kg,2912.61,3349.50,4160.87,4785.00,,,,,,,,,,,,,,
AMP-C7-1,Perimeter Hearing Loop Driver C-Series 7 Arms; Class D Amp; 1RU 2.8kg,1470.00,1690.50,2100.00,2415.00,,,,,,,,,,,,,,
AMP-C7-1D,Perimeter Hearing Loop Driver 7A 230v Dante,2139.57,2460.50,3056.52,3515.00,,,,,,,,,,,,,,
AMP-C7-1N,Perimeter Hearing Loop Driver C-Series 7 Arms Networked; Class D Amp; 1RU 2.8kg,1683.04,1935.50,2404.35,2765.00,,,,,,,,,,,,,,
AMP-C7-2,Multiloop Hearing Loop Driver C-Series 7 Arms; Class D Amp; 1RU 3.1kg,3496.96,4021.50,4995.65,5745.00,,,,,,,,,,,,,,
