Brand,Series/Category,Notes,Stockcode,Description,Stock_Status,Sold As,Price_Group,RRP_Incl_GST,Special_Dealer_ex_GST,Dealer_ex_GST,Long Description,URL,Column1
AKG,AKG-WMS45 PERCEPTION WIRELESS SYSTEMS,,WMS45-HEADSET,PERCEPTION WIRELESS W/C544L FITNESS HSET,NORMAL,EA,RETAIL 50MU,899,521.16,521.16,"The Perception Wireless Sports/Headset Set.   10 hour battery life, Up to 5 ch per band, Approx Range 30m, 10mW.  Includes SR45 receiver, PT 45 bodypack transmitter, PSU, C544L headworn microphone and one AA size battery.",https://www.jpro.co.nz/product/akg/perception-wireless-wc544l-sports-hset/WMS45-HEADSET,$0.00
AKG,AKG-WMS45 PERCEPTION WIRELESS SYSTEMS,,WMS45-INST,PERCEPTION INSTRUMENT SYSTEM W/MKGL,NORMAL,EA,RETAIL 50MU,719,416.81,416.81,"The Perception Wireless Instrument Set.   Can be used with any 'L' or 'ML' AKG mic.  10 hour battery life, Up to 5 ch per band, Approx Range 30m, 10mW.  Includes SR45 receiver, PT 45 bodypack transmitter, PSU, MKGL cable with ¼” jack plug and mini XLR connector and one AA size battery.",https://www.jpro.co.nz/product/akg/perception-instrument-system-wmkgl/WMS45-INST,$0.00
AKG,AKG-WMS45 PERCEPTION WIRELESS SYSTEMS,,WMS45-LAPEL,PERCEPTION LAPEL WIRELESS SYSTEM W/CK99L,NORMAL,EA,RETAIL 50MU,719,416.81,416.81,"The Perception Wireless Presenter Set. 10 hour battery life, Up to 5 ch per band, Approx Range 30m, 10mW.  Includes SR45 receiver, PT 45 bodypack transmitter, PSU, CK99L lavalier microphone, and one AA size battery.",https://www.jpro.co.nz/product/akg/perception-lapel-wireless-system-wck99l/WMS45-LAPEL,$0.00
AKG,AKG-WMS45 PERCEPTION WIRELESS SYSTEMS,,WMS45-VOCAL,PERCEPTION WIRELESS HANDHELD VOCAL MIC SYSTEM,NORMAL,EA,RETAIL 50MU,719,416.81,416.81,"The Perception Wireless Vocal Set.   10 hour battery life, Up to 5 ch per band, Approx Range 30m, 10mW.  Includes SR45 receiver, HT45 handheld transmitter with on/off/mute switch, PSU, SA45 stand adapter, and one AA size battery.",https://www.jpro.co.nz/products/akg/WMS45-VOCAL/,$0.00
AKG,AKG-WMS45 PERCEPTION WIRELESS COMPONENTS & ACC,,HT45,WMS45 PERCEPTION HANDHELD TRANSMITTER,NORMAL,EA,RETAIL 50MU,475,275.36,275.36,"UHF handheld transmitter, included in the PERCEPTION WIRELESS VOCAL SET.",https://www.jpro.co.nz/products/installed-audio/wireless-microphones-acc/wms45-perception-handheld-transmitter/HT45/,$0.00
AKG,AKG-WMS45 PERCEPTION WIRELESS COMPONENTS & ACC,,PT45,WMS45 PERCEPTION BODYPACK TRANSMITTER,NORMAL,EA,RETAIL 50MU,475,275.36,275.36,UHF bodypack transmitter for WMS45 PERCEPTION wireless systems.,https://www.jpro.co.nz/products/installed-audio/wireless-microphones-acc/wms45-perception-bodypack-transmitter/PT45/,$0.00
AKG,AKG-DMS100 DIGITAL 2.4GHZ WIRELESS SYSTEMS,,DMS100-INST,2.4GHZ DIGITAL BODYPACK WIRELESS SYSTEM,NORMAL,EA,RETAIL 50MU,1014,587.83,587.83,"Professional digital instrument wireless system, up to four channels up to 30m range, up to 12 hours 2 x AA, AES 256-bit encryption, extended battery life and the ultimate ease-of-use. Includes: PT100 Bodypack Transmitter, SR100 Single Ch Receiver, PSU, Mic Stand Clip and 2 x AA batteries.  Optional: Headset or Lapel Microphone to be chosen seperately (All 'L' mics OK)",https://www.jpro.co.nz/product/akg/24ghz-digital-bodypack-wireless-system/DMS100-INST,$0.00
AKG,AKG-DMS100 DIGITAL 2.4GHZ WIRELESS SYSTEMS,,DMS100-VOCAL,2.4GHZ DIGITAL HANDHELD WIRELESS SYSTEM,NORMAL,EA,RETAIL 50MU,1014,587.83,587.83,"Professional digital vocal wireless system, up to four channels up to 30m range, up to 12 hours 2 x AA, AES 256-bit encryption, extended battery life and the ultimate ease-of-use. Includes: HT100 Handheld Transmitter Mic, SR100 Single Ch Receiver, PSU, Mic Stand Clip and 2 x AA batteries.",https://www.jpro.co.nz/product/akg/24ghz-digital-handheld-wireless-system/DMS100-VOCAL,$0.00
AKG,AKG-DMS100 DIGITAL 2.4GHZ WIRELESS SYSTEMS,,HT100,DMS100 HANDHELD TRANSMITTER,NORMAL,EA,RETAIL 50MU,590,342.03,342.03,SINGLE SPEAKER WALL PLATE,,$0.00
AKG,AKG-DMS100 DIGITAL 2.4GHZ WIRELESS SYSTEMS,,PT100,DMS100 BODYPACK TRANSMITTER,NORMAL,EA,RETAIL 50MU,590,342.03,342.03,SINGLE SPEAKER WALL PLATE,,$0.00
AKG,AKG-DMS300 DIGITAL 2.4 GHZ WIRELESS SYSTEMS,,DMS300-INST,2.4GHZ DIGITAL BODYPACK WIRELESS SYSTEM,NORMAL,EA,RETAIL 50MU,1441,835.36,835.36,"Professional digital instrument wireless system, up to eight channels, up to 30m range, up to 12 hours 2 x AA, AES 256-bit encryption, extended battery life and the ultimate ease-of-use. Removable antennas for rack-mounting (optional kit available).  Includes: PT300 Bodypack Transmitter, SR300 Single Ch Receiver, PSU, Instrument Cable and 2 x AA batteries.  Optional: Headset or Lapel Microphone to be chosen seperately (All 'L' mics OK)",https://www.jpro.co.nz/product/akg/24ghz-digital-bodypack-wireless-system/DMS300-INST,$0.00
AKG,AKG-DMS300 DIGITAL 2.4 GHZ WIRELESS SYSTEMS,,DMS300-VOCAL,2.4GHZ DIGITAL HANDHELD WIRELESS SYSTEM,NORMAL,EA,RETAIL 50MU,1441,835.36,835.36,"Professional digital vocal wireless system, up to eight channels, up to 30m range, up to 12 hours 2 x AA, AES 256-bit encryption, extended battery life and the ultimate ease-of-use. Removable antennas for rack-mounting (optional kit available).  Includes: HT300 Handheld Transmitter, SR300 Single Ch Receiver, PSU, Mic Stand Clip and 2 x AA batteries.",https://www.jpro.co.nz/product/akg/24ghz-digital-handheld-wireless-system/DMS300-VOCAL,$0.00
AKG,AKG-WMS420 SERIES WIRELESS SYSTEMS,,HT420,HANDHELD WIRELESS TRANSMITTER WMS420,NORMAL,EA,RETAIL 50MU,622,360.58,360.58,UHF bodypack transmitter for WMS420 wireless systems.,https://www.jpro.co.nz/products/installed-audio/wireless-microphones-acc/handheld-wireless-transmitter-wms420/HT420/,$0.00
AKG,AKG-WMS420 SERIES WIRELESS SYSTEMS,,PT420,BODYPACK WIRELESS TRANSMITTER WMS420,NORMAL,EA,RETAIL 50MU,449,260.29,260.29,UHF bodypack transmitter for WMS420 wireless systems.,https://www.jpro.co.nz/products/installed-audio/wireless-microphones-acc/bodypack-wireless-transmitter-wms420/PT420/,$0.00
AKG,AKG-WMS420 SERIES WIRELESS SYSTEMS,,WMS420-HEADSET,WIRELESS HEADSET MICROPHONE SYSTEM W/C555L,NORMAL,EA,RETAIL 50MU,1280,742.03,742.03,"Wireless microphone system includes the high performance C555L condenser microphone, which is ideal for hands-free applications.  Up to 8 ch per band.  Up to 8 hours 1 x AA, rechargeable optional.  Detachable antennas.",https://www.jpro.co.nz/product/akg/headset-wireless-system-wc555l/WMS420-HEADSET,$0.00
AKG,AKG-WMS420 SERIES WIRELESS SYSTEMS,,WMS420-INST,WIRELESS INSTRUMENT MICROPHONE SYSTEM W/MKGL,NORMAL,EA,RETAIL 50MU,1075,623.19,623.19,"Wireless microphone system includes the MKGL guitar cable.  Up to 8 ch per band.  Up to 8 hours 1 x AA, rechargeable optional.  Detachable antennas.",https://www.jpro.co.nz/product/akg/instrument-wireless-system-wmkgl/WMS420-INST,$0.00
AKG,AKG-WMS420 SERIES WIRELESS SYSTEMS,,WMS420-LAPEL,WIRELESS LAPEL MICROPHONE PRESENTER SYSTEM W/C417L,NORMAL,EA,RETAIL 50MU,1080,626.09,626.09,"Wireless lapel microphone system includes the high performance C417L condenser microphone, which is ideal for hands-free applications.  Up to 8 ch per band.  Up to 8 hours 1 x AA, rechargeable optional.  Detachable antennas.",https://www.jpro.co.nz/products///wireless-lapel-microphone-presenter-system-wc417l/WMS420-LAPEL/,$0.00
AKG,AKG-WMS420 SERIES WIRELESS SYSTEMS,,WMS420-VOCAL,WIRELESS VOCAL MICROPHONE SYSTEM W/D5,NORMAL,EA,RETAIL 50MU,975,565.22,565.22,"Wireless handheld microphone system includes the high performance D5 microphone.  Up to 8 ch per band.  Up to 8 hours 1 x AA, rechargeable optional.  Detachable antennas.",https://www.jpro.co.nz/product/akg/vocal-wireless-system-wd5/WMS420-VOCAL,$0.00
AKG,AKG-WMS470 SERIES INSTALL WIRELESS SYSTEM,,WMS470-C5,WIRELESS HANDHELD CONDENSER SYSTEM W/C5 BD1,NORMAL,EA,RETAIL 50MU,2025,1173.91,1173.91,"Condenser handheld diversity wireless system.  Up to 16 ch per band.  Pilot tone.  Battery life up to 14 hours (AA Lithium).  Includes 1 HT450 handheld transmitter with C5, 1 SR450 receiver, 1 SA63 stand adapter, 1 LR6 battery, 2 antennas, 1 rack mount kit and PSU.  Optional: FOC Coupling plate for rack mounting two receivers.",https://www.jpro.co.nz/products/installed-audio/wireless-microphones-acc/wireless-handheld-condenser-system-wc5-bd1/WMS470-C5/,$0.00
AKG,AKG-WMS470 SERIES INSTALL WIRELESS SYSTEM,,WMS470-D5,WIRELESS  HANDHELD DYNAMIC SYSTEM W/D5 BD1,NORMAL,EA,RETAIL 50MU,1780,1031.88,1031.88,"Dynamic handheld diversity wireless system.  Up to 16 ch per band.  Pilot tone.  Battery life up to 14 hours (AA Lithium).  Includes 1 HT450 handheld transmitter with D5, 1 SR450 receiver, 1 SA63 stand adapter, 1 LR6 battery, 2 antennas, 1 rack mount kit and PSU. Optional: FOC Coupling plate for rack mounting two receivers.",https://www.jpro.co.nz/product/akg/handheld-dynamic-wireless-system-wd5/WMS470-D5,$0.00
AKG,AKG-WMS470 SERIES INSTALL WIRELESS SYSTEM,,WMS470-HEADSET,WIRELESS SYSTEM W/C544L FITNESS HEADSET BD1,NORMAL,EA,RETAIL 50MU,2125,1231.88,1231.88,"Head-worn diversity wireless system with C544L headset microphone.  Up to 16 ch per band.  Pilot tone.  Battery life up to 14 hours (AA Lithium).  Includes 1 PT450 bodypack transmitter with C544L, 1 SR450 receiver, 1 LR6 battery, 2 antennas, 1 rack mount kit and PSU. Optional: FOC Coupling plate for rack mounting two receivers.",https://www.jpro.co.nz/product/akg/headworn-wireless-system-wc544l/WMS470-HEADSET,$0.00
