Brand,Product Types,Product Sub Type,Product Name,Option 1,Option 2,Option 3,Code,Retail Excl,Wholesale Excl
Compulocks,Tablet Enclosure,Wall,Swing Arm with Space enclosure - iPad,,,,COM-827B830IPMSB,517.39,465.65
Compulocks,Tablet Enclosure,Desk,Self Service Kiosk,,,,COM-PK01102IPDSB,816.52,734.87
Compulocks,Tablet Enclosure,Desk,AV capsule Stand with Space enclosure - iPad,,,,COM-341B830IPMSB,442.61,398.35
Compulocks,Tablet Enclosure,Desk,AV capsule Stand with Space enclosure - iPad,iPad 10.2 7-9th Gen,,,COM-341B102IPDSB,442.61,398.35
Compulocks,Tablet Enclosure,Spare Parts,Keyed Different Cylinders (All Key Sets are Different),,,,COM-CYLKD50,51.3,46.17
Compulocks,Tablet Enclosure,Floorstand,Brandable VESA Floor Stand for Screens Up to 32 Inches,Black,,,COM-140BLBPB,1468.69,1321.82
Compulocks,Tablet Enclosure,Floorstand,Brandable VESA Floor Stand for Screens Up to 32 Inches,White,,,COM-140WLBPW,1468.69,1321.82
Compulocks,Tablet Enclosure,Desk,Compulocks Mini Mac Mount,,,,COM-MMEN76,164.35,147.91
Compulocks,Tablet Enclosure,Desk,Mac Mini M4 2024 Security Mount,,,,COM-MMEN24,164.35,147.91
Compulocks,Tablet Enclosure,Tablet Cases,Rugged Edge Band - Samsung,Tab A9+ 11,,,COM-BNDTA9+,138.26,124.43
Compulocks,Tablet Enclosure,Wall,Cling VESA Universal Tablet Wall Mount,Black,,,COM-VESA-CLNG-B,256.52,230.87
Compulocks,Tablet Enclosure,Wall,Cling VESA Universal Tablet Wall Mount,White,,,COM-VESA-CLNG-W,256.52,230.87
Compulocks,Tablet Enclosure,Wall,VESA Tilting Wall Mount for Screens Up to 27 Inches - Bow,Black,,,COM-505B,230.43,207.39
Compulocks,Tablet Enclosure,Wall,VESA Tilting Wall Mount for Screens Up to 27 Inches - Bow,White,,,COM-505W,230.43,207.39
Compulocks,Tablet Enclosure,Power & Cables,Plus Hub,,,,COM-H01,213.04,191.74
Compulocks,Tablet Enclosure,Spare Parts,Secured PowerStrip,,,,COM-SPWSB,256.52,230.87
Compulocks,Tablet Enclosure,Power & Cables,MacBook Ledge Lock,"MacBook Air 13"" M2-M4",No Key,Corner Lock,COM-MBALDG04,138.26,124.43
Compulocks,Tablet Enclosure,Power & Cables,MacBook Ledge Lock,"MacBook Pro 16"" M1 & M2 & M3",Keyed Cable Lock,,COM-MB16KL,190.43,171.39
Compulocks,Tablet Enclosure,Power & Cables,MacBook Ledge Lock,"MacBook Pro 16"" M1 & M2 & M3",Combination Cable Lock,,COM-MB16CL,190.43,171.39
Compulocks,Tablet Enclosure,Power & Cables,MacBook Ledge Lock,"MacBook Pro 14"" M1 & M2 & M3",Combination Cable Lock,,COM-MB14CL,190.43,171.39
Compulocks,Tablet Enclosure,Power & Cables,MacBook Ledge Lock,"MacBook Pro 14"" M1 & M2 & M3",Keyed Cable Lock,,COM-MB14KL,190.43,171.39
Compulocks,Tablet Enclosure,Desk,Self Service Kiosk,None,,,COM-PK01,630.43,567.39
Compulocks,Tablet Enclosure,Power & Cables,Universal Security Keyed Cable Lock 1.8m,,,,COM-CL15,82.61,74.35
Compulocks,Tablet Enclosure,Wall,"Space Samsung Galaxy Tab A7 Lite 8.7""Â - Black",,,,COM-870GA7SB,278.26,250.43
Compulocks,Tablet Enclosure,Wall,Universal Invisible Tablet Wall Mount,Black,,,COM-SMP01BENWMB,256.52,230.87
Compulocks,Tablet Enclosure,Wall,"PowerMove Wall Mount for iPad 10.9"" 10th Gen",,,,COM-201MPMIP109,755.65,680.09
Compulocks,Tablet Enclosure,Floorstand,Medical Rolling Kiosk for VESA Monitors - Rise Freedom,,,,COM-MCRSTDW,1651.3,1486.17
Compulocks,Tablet Enclosure,Floorstand,Lockable Utility Box with Cable Management for Medical Rolling Kiosk,,,,COM-RF03SPBW,213.04,191.74
Compulocks,Tablet Enclosure,Tablet Cases,Rugged Edge Band - iPad Mini 6th-7th Gen,,,,COM-BNDIPMN6,138.26,124.43
Compulocks,Tablet Enclosure,Tablet Cases,Rugged Edge Band - iPad 10.9 10th Gen,,,,COM-BNDIP109,138.26,124.43
Compulocks,Tablet Enclosure,Wall,Swing Arm with Space enclosure - iPad,iPad 10.2 7-9th Gen,Black,,COM-827B102IPDSB,517.39,465.65
Compulocks,Tablet Enclosure,Desk,Grip & Dock - Universal Secure Stand and Hand Grip,Static Base,,,COM-188BGRPLCK,338.26,304.43
Compulocks,Tablet Enclosure,Desk,Mac Studio Security Bracket,,,,COM-MSBKT01,308.7,277.83
Compulocks,Tablet Enclosure,Floorstand,BrandMe Stand Printer Tray,White,,,COM-BMTRAYW,239.13,215.22
Compulocks,Tablet Enclosure,Floorstand,BrandMe Stand Printer Tray,Black,,,COM-BMTRAY02B,239.13,215.22
Compulocks,Tablet Enclosure,Power & Cables,Dual Head Coiled Cable Keyed Lock,,,,COM-CL02H,138.26,124.43
Compulocks,Tablet Enclosure,Wall,Magnetix Wall Mount,With cable lock,,,COM-201MVHBMM01CL02H,346.96,312.26
Compulocks,Tablet Enclosure,Wall,Swing Arm with Cling - Universal Tablet,Black,,,COM-827BUCLGVWMB,599.13,539.22
Compulocks,Tablet Enclosure,Wall,Swing Arm with Cling - Universal Tablet,White,,,COM-827WUCLGVWMW,599.13,539.22
Compulocks,Tablet Enclosure,Wall,Swing Arm with Space enclosure - iPad,iPad 10.2 7-9th Gen,White,,COM-827W102IPDSW,517.39,465.65
Compulocks,Tablet Enclosure,Wall,Articulating Arm Stand with Space enclosure - iPad,iPad Mini 6-7th Gen,,,COM-660REACH830IPMSB,868.7,781.83
Compulocks,Tablet Enclosure,Wall,Swing Arm with Space enclosure - Samsung,Galaxy Tab A8 10.5 (2021),Black,,COM-827B105GA8SB,517.39,465.65
Compulocks,Tablet Enclosure,Wall,Swing Arm with Space enclosure - Samsung,Tab A7 Lite 8.7,Black,,COM-827B870GA7SB,503.48,453.13
Compulocks,Tablet Enclosure,Wall,Articulating Arm Stand with Space enclosure - Samsung,Galaxy Tab A8 10.5 (2021),,,COM-660REACH105GA8SB,868.7,781.83
Compulocks,Tablet Enclosure,Wall,Articulating Arm Stand with Space enclosure - Samsung,Tab A7 Lite 8.7,,,COM-660REACH870GA7SB,868.7,781.83
Compulocks,Tablet Enclosure,Recoilers & Tethers,Universal Coiled Security Cable,Black,,,COM-COIL-B,68.7,61.83
Compulocks,Tablet Enclosure,Desk,Cling Stand Universal Tablet Holder,White,,,COM-CLNG-W,286.09,257.48
Compulocks,Tablet Enclosure,Desk,Cling Stand Universal Tablet Holder,Black,,,COM-CLNG-B,364.35,327.92
Compulocks,Tablet Enclosure,Wall,Anchor Point for Cable Locks,,,,COM-EK1-AU50G,39.13,35.22
Compulocks,Tablet Enclosure,Desk,Cling Arm Articulating Stand,Silver arm with Silver Cling mount,,,COM-660REACHUCLGVWMS,934.78,841.3
Compulocks,Tablet Enclosure,Desk,Cling Arm Articulating Stand,Silver arm with Black Cling mount,,,COM-660REACHUCLGVWMB,934.78,841.3
Compulocks,Tablet Enclosure,Desk,Cling Arm Articulating Stand,Silver arm with White Cling mount,,,COM-660REACHUCLGVWMW,934.78,841.3
Compulocks,Tablet Enclosure,Desk,Rugged Case Security Mount - Universal,,,,COM-820BRCH,482.61,434.35
Compulocks,Tablet Enclosure,Floorstand,Medical Rolling Kiosk Basket,,,,COM-RF02BKTW,186.96,168.26
Compulocks,Tablet Enclosure,Floorstand,Medical Rolling Kiosk Keyboard Shelf,,,,COM-MCSF01W,213.04,191.74
Compulocks,Tablet Enclosure,Floorstand,Brand Me Floorstand Stand with Space enclosure - Surface,iPad Mini 6,,,COM-140B830IPMSB,1033.91,930.52
Compulocks,Tablet Enclosure,Floorstand,Brand Me Floorstand Stand with Space enclosure - Surface,iPad 10.2 (7th - 9th Gen),Black,,COM-140B102IPDSB/BMTRAY,1216.52,1094.87
