suppliers Code,Manufacturers Code,EAN/UPC Barcode,Brand name,Product group,Description,Buy price NZ$ Ex.GST,weight (Kg),warranty (mth),Unit per box (shipper),stock on hand,RRP            Inc. GST
MHCM20,CM20,6927433606002,Maxhub CVTE,Capture Systems,MAXHUB Capture System CM20 Omnidirectional Microphone 6 microphone array Double microphone synergy 360° pick up angle Pickup radius?8m 2 microphones in one package,856,1.3,,2,1,1486.398
MHCM30,CM30,,Maxhub CVTE,Capture Systems,MAXHUB Mobile Capture System CM30 Omnidirectional Microphone 6 microphone array Double microphone synergy 360° pick up angle Pickup radius?8m 2 microphones in one package,821.82,0.45,,1,1,1452.0015
MHDST01,DST01,,Maxhub CVTE,Accessories,MAXHUB Express Room Stand,608.13,,,,13,1062.6
MHE7530,E7530,,Maxhub CVTE,Education IFP,"MAXHUB E series E7530 75"" Interactive Touch Display Screen size: 75"" 4K Resolution Android 13 system 8GB RAM, 64GB ROM IR Touch, 40 touch points 2 x 20W speaker",2633.86,62,,,8,4652.4055
MHE8630,E8630,,Maxhub CVTE,Education IFP,"MAXHUB E series E8630 86"" Interactive Touch Display Screen size: 86"" 4K Resolution Android 13 system 8GB RAM, 64GB ROM IR Touch, 40 touch points 2 x 20W speaker",3430.98,69,,,4,5948.0645
MHEW1MT71E,EW1MT71E,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - MT71E,75.43,,,1,989,211.6
MHEW1MT71F,EW1MT71F,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - MH71F,99.14,,,1,992,0
MHEW1ND43CMA,EW1ND43CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - ND34CMA,57,,,1,998,0
MHEW1ND55CMA,EW1ND55CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - ND55CMA,74,,,1,997,0
MHEW1ND86CMA,EW1ND86CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - ND86CMA,367,,,1,99,0
MHEW1U7530,EW1U7530,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - U7530,333,,,1,1000,0
MHEW1U8630,EW1U8630,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - U8630,384,,,1,1000,0
MHEW1V5550,EW1V5550,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - V5550,323.28,,,1,995,0
MHEW1V6550,EW1V6550,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - V6550,387.93,,,1,994,0
MHEW1V7550,EW1V7550,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - V7550,474.14,,,1,995,0
MHEW1V8650,EW1V8650,,Maxhub CVTE,Extended Warranties,MAXHUB 1-Year Extended Warranty - V8650,603.45,,,1,997,0
MHEW1XCOREPRO-KIT,EW1XCOREPRO-KIT,,Maxhub CVTE,Extended Warranties,MAXHUB XCore Kit Pro Kit 1-Year Warranty Extension,135.78,,,,99,0
MHEW20T,EW20T,6927433605999,Maxhub CVTE,Capture Systems,"MAXHUB Capture System EW20T Teacher Camera 8MP camera, 42° HFOV 8x digital zoom PoE supported",856,1,,1,1,1486.398
MHEWMT71E,EWMT71E,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - MT71E,135.78,,,1,1000,0
MHEWMT71F,EWMT71F,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - MH71F,176.72,,,1,989,0
MHEWND43CMA,EWND43CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND43CMA,99,,,1,1000,0
MHEWND55CMA,EWND55CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND55CMA,137,,,1,1000,0
MHEWND55CMA-T,EWND55CMA-T,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND55CMA-T,158,,,1,1000,0
MHEWND55CMB,EWND55CMB,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND55CMB,122.84,,,1,982,0
MHEWND65CMA,EWND65CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND65CMA,198,,,1,999,0
MHEWND65CMA-T,EWND65CMA-T,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND65CMA-T,233,,,1,1000,0
MHEWND65CMD,EWND65CMD,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND65CMD,160,,,1,1000,0
MHEWND75CMA,EWND75CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND75CMA,275,,,1,1000,0
MHEWND75CMA-T,EWND75CMA-T,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND75CMA-T,329,,,1,1000,0
MHEWND75CMD,EWND75CMD,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND75CMD,218,,,1,1000,0
MHEWND86CMA,EWND86CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND86CMA,367,,,1,1000,0
MHEWND98CMA,EWND98CMA,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - ND98CMA,711,,,1,1000,0
MHEWOPS72-I5,EWOPS72-I5,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - OPS72-I5,135.78,,,1,1000,0
MHEWOPS72-I7,EWOPS72-I7,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - OPS72-i7,176.72,,,1,1000,0
MHEWU6530,EWU6530,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - U6530,460,,,1,1000,0
MHEWU7530,EWU7530,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - U7530,600,,,1,1000,0
MHEWU8630,EWU8630,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - U8630,771,,,1,1000,0
MHEWV50,EWV50,,Maxhub CVTE,Extended Warranties,MAXHUB V50 MTR Videobar 2-Year Warranty Extension,325.43,,,,98,0
MHEWV5550,EWV5550,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - V5550,581.9,,,1,994,0
MHEWV555T,EWV555T,,Maxhub CVTE,Extended Warranties,"MAXHUB V7 MTR 55"" IFP 2-Year Warranty Extension",659.48,,,,99,0
MHEWV6550,EWV6550,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - V6550,698.28,,,1,1000,0
MHEWV655T,EWV655T,,Maxhub CVTE,Extended Warranties,"MAXHUB V7 MTR 65"" IFP 2-Year Warranty Extension",814.66,,,,98,0
MHEWV7550,EWV7550,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - V7550,853.45,,,1,999,0
MHEWV755T,EWV755T,,Maxhub CVTE,Extended Warranties,"MAXHUB V7 MTR 75"" IFP 2-Year Warranty Extension",969.83,,,,2,0
MHEWV8650,EWV8650,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - V8650,1086.21,,,1,997,0
MHEWV865T,EWV865T,,Maxhub CVTE,Extended Warranties,"MAXHUB V7 MTR 86"" IFP 2-Year Warranty Extension",1163.79,,,,97,0
MHEWWT13,EWWT13,,Maxhub CVTE,Extended Warranties,MAXHUB 2-Year Extended Warranty - WT13,19.4,,,,96,0
MHEWXT10,EWXT10,,Maxhub CVTE,Extended Warranties,MAXHUB Extended Warranty - 2 Years X CORE KIT,316,,,1,1000,0
MHEWXT10VB,EWXT10VB,,Maxhub CVTE,Extended Warranties,MAXHUB Extended Warranty - 2 Years X CORE KIT VB,217.67,,,1,1000,0
MHEWXT10WS,EWXT10WS,,Maxhub CVTE,Extended Warranties,MAXHUB Extended Warranty - 2 Years X CORE KIT WS,217.67,,,1,1000,0
MHMT61-i7,MT61-i7,,Maxhub CVTE,OPS,"MAXHUB V6 Series Win IoT i7 OPS 16GB RAM, 256GB SSD",2026,,,,1,0
MHMT71f-i7,MT71f-i7,6927433607306,Maxhub CVTE,OPS,"MAXHUB V7 Series OPS - MAXHUB OS Intel i7-12650H, 16GB RAM, 512GB SSD Windows 11 Pro",2115.93,1.75,,1,30,3743.25
MHND50CMB,ND50CMB,,Maxhub CVTE,Commercial Display,"MAXHUB CMB Series Commercial Display
Screen size: 50"" 
4K Display, Anti-Glare, 500 nits brightness, 25% haze
Android 14.0, 4G RAM, 32G Storage
2 x 16W Built-in Speakers
Orientation: Portrait / Landscape, 7×24 operation hours
MTR compatibility
1080P BYOM
Power saving: EPEAT Silver+EEI E",985.76,,,,3,1777.026
MHND65CMB,ND65CMB,,Maxhub CVTE,Commercial Display,"MAXHUB CMB Series ND65CMB 4K Commercial Display 4K, Anti-Glare, 500 nits brightness Android 11.0, 4G RAM, 32G Storage WiFi-6 supported 2 x 16W Built-in Speakers Orientation: Portrait / Landscape, 7×24 operation hours Power saving: Energy Star, Erp",1557.15,33.25,,1,18,2807.081
MHND75CMB,ND75CMB,,Maxhub CVTE,Commercial Display,"MAXHUB CMB Series ND75CMB 4K Commercial Display 4K Display, Anti-Glare, 500 nits brightness Android 11.0, 4G RAM, 32G Storage WiFi-6 supported 2 x 16W Built-in Speakers Orientation: Portrait / Landscape, 7×24 operation hours Power saving: Energy Star, Erp",2100.19,48.15,,1,5,3786.0185
MHND86CMB,ND86CMB,,Maxhub CVTE,Commercial Display,"MAXHUB CMB Series Commercial Display
Screen size: 86"" 
4K Display, Anti-Glare, 500 nits brightness, 25% haze
Android 14.0, 4G RAM, 32G Storage
2 x 16W Built-in Speakers
Orientation: Portrait / Landscape, 7×24 operation hours
MTR compatibility
1080P BYOM
Power saving: EPEAT Silver+EEI E",2974.72,,,,4,5362.542
MHOPS72A-I5,OPS72A-I5,6927433605104,Maxhub CVTE,OPS,MAXHUB OPS72A 12th Gen Intel-i5 Windows OPS Module CPU: 12th Gen Intel Core - i5 RAM: 16G ROM: 256G Compatible with E&B&U series IFP and CMA&UW series display Not a standard configuration,1248.45,,,1,1,2205.7805
MHOPS72A-I7,OPS72A-I7,6927433605753,Maxhub CVTE,OPS,"MAXHUB OPS72 12th Gen Intel-i7 Windows 11 OPS Module CPU: 12th Gen Intel Core - i7 RAM: 16G ROM: 256G Compatible with Education E Series, B Series & U Series IFPs and CMA Series & UW Series Commercial Displays",1816.53,,,1,3,3209.489
MHOPS72-i5,OPS72-i5,,Maxhub CVTE,OPS,"MAXHUB OPS72 12th Gen Intel-i5 Windows 11 OPS Module CPU: 12th Gen Intel Core - i5 RAM: 8G ROM: 128G Compatible with Education E Series, B Series & U Series IFPs and CMA Series & UW Series Commercial Displays",1110,,,1,1,1985.314
MHSC13B,SC13B,,Maxhub CVTE,Accessories,"Maxhub Document Camera
MAXHUB Document Camera is specially designed for education. It can be paired with an
interactive flat panel to clearly display textbooks, handouts, test papers, etc., which is an
essential tool in multimedia classrooms.

Model 	SC13B
Pixel 	13M
Format 	A4
Focus mode 	AF
Interface type 	USB
Operating voltage 	DC 5V
Operating temperature 	0?-40?
Video output 	MJPG output: 2448 × 3264, 3120 × 4208
Flicker control 	50 Hz",280.68,3.15,,,10,495.903
MHSP08,SP08,,Maxhub CVTE,Accessories,MAXHUB Electromagnetic Pen 1024 pressure levels,75,,,,3,
MHST33,ST33,,Maxhub CVTE,Accessories,"Mobile stand. Max load 100kg. For 55""/65""/75""/86"" panels",347,23.5,,1,4,602.3815
MHT10PB-USB-10m,T10PB-USB-10m,6927433605951,Maxhub CVTE,Accessories,10M USB-C cable for Xcore Kit,420.83,,,,29,734.85
MHTCP10M,TCP10M,6927433604497,Maxhub CVTE,Accessories,"MAXHUB TCP10M 10.1"" Touch Control Panel 1920(H)×1080(V) Android 10.0 RAM 4G+ ROM 16G Capacitive touch recognition Compatible with MH OS PC only",700.57,1.86,,1,4,1223.6
MHTCP30MW,TCP30MW,,Maxhub CVTE,Accessories,MAXHUB XCore Kit Wall Mount,85.14,,,,5,148.35
MHTCP33T,TCP33T,,Maxhub CVTE,MTR,MAXHUB Touch Console for use with MAXHUB MTR IFP,1026.52,,,,4,1792.85
MHU6540,U6540,,Maxhub CVTE,Education IFP,"MAXHUB NEW U series 65"" Interactive Touch Display Screen size: 65"" 4K Resolution Android 15 system, Google EDLA certified 16GB RAM, 256GB ROM IR Touch, 50 touch points, 8-microphone array, 12m Pickup 2.2 SkyWave Speakers 74W max output, 50MP Camera, 115 DFOV",2683.26,45.35,,,4,4740.829
MHU7540,U7540,,Maxhub CVTE,Education IFP,"MAXHUB NEW U series 75"" Interactive Touch Display Screen size: 75"" 4K Resolution Android 15 system, Google EDLA certified 16GB RAM, 256GB ROM IR Touch, 50 touch points, 8-microphone array, 12m Pickup 2.2 SkyWave Speakers 74W max output, 50MP Camera, 115 DFOV",3464.66,58.1,,,5,6121.427
MHU8640,U8640,,Maxhub CVTE,Education IFP,"MAXHUB NEW U series 86"" Interactive Touch Display Screen size: 86"" 4K Resolution Android 15 system, Google EDLA certified 16GB RAM, 256GB ROM IR Touch, 50 touch points, 8  microphone array, 12m Pickup 2.2 SkyWave Speakers 74W max output, 50MP Camera, 115 DFOV",4423.45,66.5,,1,4,5468.25
MHUCBM35,UCBM35,6971039693119,Maxhub CVTE,UC Products,"MAXHUB UC BM35 Microsoft Teams Rooms Speakerphone Microsoft Teams Rooms Certified 8 microphone array, 6m pickup range 5W+3W speaker USB-C 2.0, Bluetooth 5.3, 2.4GHz operation",327.52,0.71,,1,11,713.7245
MHUCBM45,UCBM45,6927433606378,Maxhub CVTE,UC Products,"MAXHUB UC BM45 Microsoft Teams Rooms Speakerphone Microsoft Teams Rooms Certified 8 microphone array, 8m pickup range 5W speaker USB-C x 1, RJ45 x 2 Support AEC, ANC, AGC, De-reverberation Supports up to 8 units cascades",395.29,1.33,,1,8,758.5975
MHUCP30,UCP30,6927433605968,Maxhub CVTE,UC Products,"MAXHUB UC P30 4K Microsoft Teams Rooms PTZ Camera Dual lens, 4K video resolution Telephoto lens: 1/1.8"" CMOS, 8MP camera, 12x optical zoom, DFOV 90° Panoramic lens: 1/2.8"" CMOS, 8MP camera, DFOV 120° Support Auto Framing, Speaker Tracking, Presenter Tracking Support PoE+",2044.19,3.95,,1,10,3691.0055
MHUCS07,UCS07,6927433603421,Maxhub CVTE,UC Products,"MAXHUB UC S07 4K Microsoft Teams Rooms Videobar Microsoft Teams Rooms Certified 1/2.3"" Sony CMOS, 12MP 4K Camera, DFOV 120° 6 microphone array 8W+3W speaker USB-C 2.0",655.04,2.93,,1,1,1182.752
MHUCW31,UCW31,6927433605357,Maxhub CVTE,UC Products,"MAXHUB UC W31 4K Microsoft Teams Rooms USB Camera Microsoft Teams Rooms Certified IMX577 Sony CMOS, 12MP 4K Camera, HFOV 109°, DFOV 117.8° 2 microphone array, 4m pickup range (for AI feature only) USB-C x 1",420.13,0.545,,1,13,758.5975
MHUW105NA,UW105NA,6927433605050,Maxhub CVTE,Commercial Display,"MAXHUB 5K 21:9 Commercial Display UW Series UW105NA  Screen size: 105'' 5K Display, 21:9, Anti-Glare, 400 nits brightness Android 13, 8G RAM, 64G ROM Built-in 2×16W+15W Speakers Orientation: Portrait, 7×16 operation hours Power saving: Energy Star, ErP",11704.8,118.5,,1,2,21100.2805
MHV5550,V5550,6927433606132,Maxhub CVTE,Corporate IFP,"MAXHUB XBoard V7 series V5550 55"" All-in-one Conference Interactive Touch Display Screen size: 55""  4K Resolution display 50MP x 3 trident camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer  (PC module sold separately)",3026.18,32.25,,1,4,5498.5755
MHV555T,V555T,,Maxhub CVTE,MTR,"MAXHUB XBoard V7 series V555T 55"" Microsoft Teams Rooms Interactive Touch Display Screen size: 55"" 4K Resolution display 50MP Dual camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer PC module included in the box, 12th Gen Intel core - i5",5103.68,45.6,,1,9,9273.393
MHV6550,V6550,6927433606149,Maxhub CVTE,Corporate IFP,"MAXHUB XBoard V7 series V6550 65"" All-in-one Conference Interactive Touch Display Screen size: 65""  4K Resolution display 50MP x 3 trident camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer  (PC module sold separately)",3947.48,46.6,,1,2,7217.9635
MHV655T,V655T,6927433606248,Maxhub CVTE,MTR,"MAXHUB XBoard V7 series V655T 65"" Microsoft Teams Rooms Interactive Touch Display Screen size: 65""  4K Resolution display 50MP Dual camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer PC module included in the box, 12th Gen Intel core - i5",6215.68,45.6,,1,5,10997.197
MHV70,V70,,Maxhub CVTE,MTR,MAXHUB V70 MTR Videobar with Touch Console - Android Large Sized Meeting Room,3975.44,,,,9,7178.0815
MHV7550,V7550,6927433606156,Maxhub CVTE,Corporate IFP,"MAXHUB XBoard V7 series V7550 75"" All-in-one Conference Interactive Touch Display Screen size: 75""  4K Resolution display 50MP x 3 trident camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer  (PC module sold separately)",5221.94,61.1,,1,6,9548.312
MHV755T,V755T,,Maxhub CVTE,MTR,"MAXHUB XBoard V7 series V755T 75"" Microsoft Teams Rooms Interactive Touch Display Screen size: 75"" 4K Resolution display 50MP x 3 trident camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer PC module included in the box, 12th Gen Intel core - i5",7512.62,45.6,,1,3,13650.431
MHV865T,V865T,6927433606262,Maxhub CVTE,MTR,"MAXHUB XBoard V7 series V865T 86"" Microsoft Teams Rooms Interactive Touch Display Screen size: 86""  4K Resolution display 50MP x 3 trident camera system 16-mic array, 15m pick up range IR recognition, 50 points touch 2 x 10W speaker + 20W subwoofer PC module included in the box, 12th Gen Intel core - i5",9234.66,74.55,,1,3,16778.5
MHW70,W70,,Maxhub CVTE,MTR,MAXHUB W70 MTR Videobar with Touch Console - Windows,4630.48,14,,,13,8360.8335
MHWB05,WB05,6927433604367,Maxhub CVTE,Screenshare,MAXHUB Wireless Screenshare Box,605.7,1.4,,1,7,1058
