Brand,Part Number,Short Description,Long Description,Trade ex GST,RRP inc GST
Airtame,AT-CD1-ROOMS-1Y,Airtame Hub with 1yr HYBRID license & 3yr total hardware warranty,"Airtame Hub: Easy-to-use video conferencing for hybrid meetings.  Stable, secure calls, every time.Includes features of the Airtame 2 +conferencing.Includes 1 year Airtame Hybrid license.","$4,305.00","$6,685.00"
Airtame,AT-CD1-CORE-3Y,Airtame Hub with 3yr CORE license & 3yr total hardware warranty,"Airtame Hub with 3 year Airtame Core License. All the features of the Airtame 2 with faster processor but no conferencing. Use ""AT-HYBRID-1Y"" to upgrade license from Core to Hybrid.","$4,305.00","$6,685.00"
Airtame,AT-CD1-PSU-AUS,Airtame Hub Power Supply-Australia,A power supply is not included with the purchase of an Airtame Hub. Built-in PoE+ is the standard power option for the device.,"$4,803.00","$7,455.00"
Airtame,AT-DG3-HYBRID-3Y,Airtame 3 Hardware Inc 3 year Core Licence and Video Conferencing,"Airtame 3 hardware including a 3 year Hybrid license and 3 year warranty, for screen sharing, digital signage and video conferencing on Teams, Zoom, Google Meet & Webex",$53.00,$80.00
Airtame,AT-DG3-CORE-3Y,Airtame 3 Hardware Inc 3 Year Core Licence ,"Airtame 3 hardware including a 3 year Core License and 3 year warranty, for screen sharing and digital signage, RCM Compliant for ANZ","$6,571.00","$10,200.00"
Airtame,AT-GO1-CORE-3Y,"Airtame 3 Go Amazon Signage Stick hardware, Ethernet adapter, 3 year core license and 3 year warranty","Airtame 3 Go Amazon Signage Stick hardware, Ethernet adapter, 3 year core license and 3 year warranty","$3,248.00","$5,045.00"
Airtame,AT-POE,Airtame 2 PoE to USB Adapter,"Provides both DC 5V and network connection to the Airtame 2, via the USB connector on the AirCord. Improve the stability of the connection, and minimise latency.","$44,638.00","$69,300.00"
Airtame,AT-ETH,Airtame Ethernet Adapter,"A Micro USB to ethernet adapter, to hardwire your Airtame devices to the network. ","$8,492.00","$13,185.00"
Airtame,AT-IEC,"Airtame 2 Extension Cord, 1.8m",Extends the range of Airtame's power supply unit by 1.8m.  Includes an IEC adapter for the Airtame 2 PSU and an extension cord with a standard regional plug.  Not necessary when Airtame PoE Adapter is used.,"$12,969.00","$20,135.00"
Airtame,AT-AC,Airtame 2 AirCord (split cable),"Replacement AirCord for the Airtame 2 device.  All-in-one HDMI, USB and USB-C cable.","$12,969.00","$20,135.00"
Airtame,AT-PSU-OC,Airtame 2 power supply box AU/NZ,Replacement Power Supply for the Airtame 2 device.,"$21,923.00","$34,035.00"
Airtame,AT-MAG,Airtame 2 Magnetic Mount,For flexible (magnetic) or permanent (adhesive) installation of the Airtame 2. ,"$20,254.00","$31,445.00"
Airtame,AT-CORE-EDU-1Y,"Airtame Core License for Education customers - 1 license, 1 year duration","Airtame Core License for Education customers - 1 license, 1 year duration","$25,200.00","$39,125.00"
Airtame,AT-CORE-EDU-3Y,"3 year Airtame Core for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","3 year Airtame Core for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","$17,162.00","$26,645.00"
Airtame,AT-CORE-EDU-5Y,"5 year Airtame Core for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","5 year Airtame Core for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","$16,392.00","$25,450.00"
Airtame,AT-CORE-EDU-1Y-RENEWAL,"Airtame Core for Education customers  - Credit for renewal of 1 license, 1 year","Airtame Core for Education customers  - Credit for renewal of 1 license, 1 year","$15,623.00","$24,255.00"
Airtame,AT-CORE-EDU-2Y-EXTENSION,2 year core for education license extension. This is an add-on product for AT-DG3-CORE-3Y and AT-GO1-CORE-3Y- only applicable or EDU customers,2 year core for education license extension. This is an add-on product for AT-DG3-CORE-3Y and AT-GO1-CORE-3Y- only applicable or EDU customers,"$17,862.00","$27,730.00"
Airtame,AT-CORE-EDU-3Y-RENEWAL,"3 year Airtame Core RENEWAL for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","3 year Airtame Core RENEWAL for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","$13,208.00","$20,505.00"
Airtame,AT-CORE-EDU-5Y-RENEWAL,"5 year Airtame Core RENEWAL for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","5 year Airtame Core RENEWAL for Education license. Only applicable for education accounts. Can be used for Virtual Airtame, or an unlicenses Airtame 2, Airtame Hub or Airtame 3 device","$6,562.00","$10,190.00"
Airtame,AT-CORE-1Y,"Airtame Core License  - 1 license, 1 year duration","Airtame Core License  - 1 license, 1 year duration","$1,964.00","$3,050.00"
Airtame,AT-CORE-3Y,"3 Year Airtame Core license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device","3 Year Airtame Core license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device",$778.00,"$1,210.00"
Airtame,AT-CORE-5Y,"5 Year Airtame Core license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device","5 Year Airtame Core license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device",$867.00,"$1,345.00"
Airtame,AT-CORE-1Y-RENEWAL,"Airtame Core - Credit for renewal of 1 license, 1 year","Airtame Core - Credit for renewal of 1 license, 1 year","$2,209.00","$3,430.00"
Airtame,AT-CORE-2Y-EXTENSION,2 year Core license extension. This is an add-on product for AT-DG3-CORE-3Y and AT-GO1-CORE-3Y,2 year Core license extension. This is an add-on product for AT-DG3-CORE-3Y and AT-GO1-CORE-3Y,$311.00,$485.00
Airtame,AT-CORE-3Y-RENEWAL,"3 Year Airtame Core RENEWAL license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device","3 Year Airtame Core RENEWAL license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device",$385.00,$600.00
Airtame,AT-CORE-5Y-RENEWAL,"5 Year Airtame Core RENEWAL license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device","5 Year Airtame Core RENEWAL license. Can be used for Virtual Airtame, or an unlicensed Airtame 2, Airtame Hub or Airtame 3 device",$719.00,"$1,115.00"
Airtame,AT-HYBRID-1Y,"Airtame Hybrid License - 1 license, 1  year duration","Airtame Hybrid License - 1 license, 1  year duration",$237.00,$370.00
Airtame,AT-HYBRID-3Y,"3 year Airtame Hybrid License. Can be used for Virtual Airtame, or an unlicensed Airtame Hub or Airtame 3 device","3 year Airtame Hybrid License. Can be used for Virtual Airtame, or an unlicensed Airtame Hub or Airtame 3 device",$185.00,$285.00
Airtame,AT-HYBRID-5Y,"5 year Airtame Hybrid License. Can be used for Virtual Airtame, or an unlicensed Airtame Hub or Airtame 3 device","5 year Airtame Hybrid License. Can be used for Virtual Airtame, or an unlicensed Airtame Hub or Airtame 3 device",$59.00,$90.00
Airtame,AT-HYBRID-1Y-RENEWAL,Airtame Hybrid License - 1 Year renewal / additional,Airtame Hybrid License - 1 Year renewal / additional,$59.00,$90.00
