Brand,Stockcode,Description,Special Order Only,Sold As,Dealer excl GST,RRP in GST,Category
Shure,DH5B-O-LM3,Shure HEADSET MICROPHONE - BLACK/LEMO,*,EA,$828.41,"$1,429.00",DURAPLEX HEADSETS AND LAPELS
Shure,DH5B-O-MTQG,Shure HEADSET MICROPHONE - BLACK/TQG,,EA,$695.07,"$1,199.00",DURAPLEX HEADSETS AND LAPELS
Shure,DH5C/O-LM3,Shure HEADSET MICROPHONE - COCOA/LEMO,*,EA,$828.41,"$1,429.00",DURAPLEX HEADSETS AND LAPELS
Shure,DH5CO-MTQG,Shure HEADSET MICROPHONE - COCOA/TQG,,EA,$637.10,"$1,099.00",DURAPLEX HEADSETS AND LAPELS
Shure,DH5T/O-LM3,Shure HEADSET MICROPHONE - TAN/LEMO,*,EA,$828.41,"$1,429.00",DURAPLEX HEADSETS AND LAPELS
Shure,DH5T/O-MTQG,Shure HEADSET MICROPHONE - TAN/TQG,*,EA,$787.83,"$1,359.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4B/O-LM3-A,Shure LAPEL MICROPHONE - BLACK/LEMO,*,EA,$631.30,"$1,089.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4B/O-MTQG-A,Shure LAPEL MICROPHONE - BLACK/TQG,*,EA,$590.72,"$1,019.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4C/O-LM3-A,Shure LAPEL MICROPHONE - COCOA/LEMO,*,EA,$631.30,"$1,089.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4C/O-MTQG-A,Shure LAPEL MICROPHONE - COCOA/TQG,,EA,$492.17,$849.00,DURAPLEX HEADSETS AND LAPELS
Shure,DL4T/O-LM3-A,Shure LAPEL MICROPHONE - TAN/LEMO,*,EA,$631.30,"$1,089.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4T/O-MTQG-A,Shure LAPEL MICROPHONE - TAN/TQG,*,EA,$590.72,"$1,019.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4W/O-LM3-A,Shure LAPEL MICROPHONE - WHITE/LEMO,*,EA,$631.30,"$1,089.00",DURAPLEX HEADSETS AND LAPELS
Shure,DL4W/O-MTQG-A,Shure LAPEL MICROPHONE - WHITE/TQG,,EA,$492.17,$849.00,DURAPLEX HEADSETS AND LAPELS
Shure,AMVL-BAG,Shure DRAWSTRING CARRYING POUCH FOR MVL,*,EA,$28.41,$49.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMVL-CLIP,Shure TIE CLIP FOR MVL,*,EA,$5.79,$9.99,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMVL-FUR,Shure RYCOTE MINI-WINDJAMMER FOR MVL,*,EA,$55.07,$95.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMV-LTG,Shure LIGHTNING CABLE FOR MOTIV,*,EA,$60.87,$105.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMVL-WS,Shure WINDSCREEN FOR MVL,*,EA,$5.79,$9.99,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMV-PC,Shure PHONE CLAMP AND MIC CLIP FOR MV88+,*,EA,$60.87,$105.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMV-USB,Shure USB CABLE FOR MOTIV,*,EA,$34.20,$59.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,AMV-USBC15,Shure USB-C CABLE FOR MOTIV,*,EA,$60.87,$105.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV51-DIG,Shure LARGE-DIAPHRAGM USB CONDENSER MICROPHONE,*,EA,$300.87,$519.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV5-B-DIG,Shure USB CONDENSER RECORDING MICROPHONE - BLACK,,EA,$161.74,$279.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV6,Shure USB DYNAMIC STREAMING / GAMING MICROPHONE,,EA,$231.30,$399.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV7+BNDL,Shure BLACK USB/XLR DYNAMIC PODCASTING KIT,,EA,$463.19,$799.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV7+K,Shure BLACK USB/XLR DYNAMIC PODCASTING MICROPHONE,,EA,$434.20,$749.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV7+W,Shure WHITE USB/XLR DYNAMIC PODCASTING MICROPHONE,,EA,$434.20,$749.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
Shure,MV7I,Shure MV7I SMART MIC + INTERFACE,,EA,$538.55,$929.00,MOTIV MICROPHONES & RECORDING SOLUTIONS
