Inventory Group,Product Name,RRP Incl GST,List Price,Product Description,Long Description,Colour,EAN Number,Panasonic URL
5710 POWERTOOLS,EY78A1X57,628.57,382.61,14.4V/18V ROTARY HAMMER DRILL SKIN,,,8887549482250,
5710 POWERTOOLS,EYFA05-A10H,29.99,19,CORDLESS FACTORY TOOL PROTECTOR,,BLUE,,
5710 POWERTOOLS,EY0L82B57,99,66.35,14.4V 28.8V Battery Charger,Replacement Battery for 14.4V 28.8V Cordless Powertools,,8887549482755,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/accessories/ey0l82b57.html
5710 POWERTOOLS,EY45A1X57,419,255.04,18V/14.4V Cordless Reciprocating Saw Skin,Includes: Reciprocating Saw Skin Only,,8887549482304,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/other-power-tools/ey45a1x57.html
5710 POWERTOOLS,EY79A2LJ2G57,699,425.48,18V Cordless Hammer Drill Kit,"Includes: Hammer Drill skin, 2 X 5Ah batteries, charger, in a carry case",,8887549611872,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/drill-drivers/ey79a2lj2g57.html
5710 POWERTOOLS,EY9PW13C57,64,38.35,135mm Wood Cutting Blade for Skill Saw,Replacement cutting blade for Wood to be used with EY45A2XM57. C6 Tungsten carbidetipped 24 teeth,,,https://www.panasonic.com/nz/business/video-intercom-power-tools/power-tools/accessories/ey9pw13c57.html
5710 POWERTOOLS,EY7410LA2S57,349,168.83,3.6V Cordless Screwdriver Kit,"Includes: Screwdriver skin, 2 X 1.5Ah batteries, charger, in a carry case",,8887549266805,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/drill-drivers/ey7410la2s57.html
5710 POWERTOOLS,EY79A2X57,299,182,18V/14.4V Cordless Hammer Drill Kit,Includes: Hammer Drill skin ONLY,,8887549611766,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/drill-drivers/ey79a2x57.html
5710 POWERTOOLS,EY37A3B57,385.71,234.78,14.4V/18V CORDLESS STICK VACUUM SKIN,,,8887549716041,
5710 POWERTOOLS,EY45A2XM57,349,212.43,18V/14.4V Cordless Skill Saw Skin,Includes: Skill Saw Skin Only,,8887549552564,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/cutters-grinders-jigsaws/ey45a2xm57.html
5710 POWERTOOLS,EY4541X57,289,175.91,14.4V Cordless Jigsaw Skin,Includes: Jigsaw Skin Only,,,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/cutters-grinders-jigsaws/ey4541x57.html
5710 POWERTOOLS,EY46A2X57,349,212.43,14.4/18V Cordless Grinder Skin,Includes: Grinder Skin Only,,,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/cutters-grinders-jigsaws/ey46a2x57.html
5710 POWERTOOLS,EY75A7X57,289,175.91,18V/14.4V Cordless Impact Driver Skin,Includes: Impact Driver Skin ONLY,,8887549590801,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/impact-drivers-wrenches/ey75a7x57.html
5710 POWERTOOLS,EY75A8X57,299,182,14.4V/18V Cordless Impact Wrench Skin,Includes: Impact Wrench Skin ONLY,,8887549482205,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/impact-drivers-wrenches/ey75a8x57.html
5710 POWERTOOLS,EY9PM13E57,69,50.4,135mm Metal Cutting Blade for Skill Saw,Replacement cutting blade for Metal to be used with EY45A2XM57. C6 Tungsten carbidetipped 30 teeth,,,https://www.panasonic.com/nz/business/video-intercom-power-tools/power-tools/accessories/ey9pm13e57.html
5710 POWERTOOLS,EY37A2B57,389,212.43,18V/14.4V Cordless Radio Skin,Includes: Radio Skin Only,,8887549599583,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/other-power-tools/ey37a2b57.html
5710 POWERTOOLS,EYC217LJ2G57,969,589.83,18V Cordless Hammer Drill & Impact Driver Combo Kit,"Includes: Hammer Drill Skin, Impact Driver skin, 2 X 5Ah batteries, charger, in a carry case",,8887549611810,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/power-tool-kits/eyc217lj2g57.html
5710 POWERTOOLS,EY37A1B57,199,121.13,18V/14.4V Cordless Blower Skin,Includes: Blower Skin Only,,8887549529160,https://www.panasonic.com/nz/consumer/batteries-and-energy-solutions/power-tools/other-power-tools/ey37a1b57.html
