Manufacturer Brand,MPN,Description,Dealer ex GST
Alfatron,ALF-DAI-2XLR,"Alfatron DANTE 2 channel input device. Connects two line level analogue channels to DANTE. Perfect for getting a mixer, wireless mics, loop amps or any analogue sources onto a DANTE network. Includes power LED and 2 x Signal LED indicators. PoE powered. RJ45 and 2 x XLR-F.
",$494.00
Alfatron,ALF-DAO-2XLR,"Alfatron DANTE 2 channel output device. Connects DANTE to two line level analogue outputs. Allows you to easily add DANTE to existing amplifiers, powered speakers or any analogue line level device. Includes power LED and 2 x Signal LED indicators. PoE powered. RJ45 and 2 x XLR-M.",$494.00
Alfatron,ALF-DAIO-USB,"Alfatron DANTE 2x2 channel USB device. Allows you to connect any computer to a DANTE network for playback or recording. Great for background music installations, playback from a laptop or recording. 2 channels to and from USB-A. USB powered with Power LED indicator. Includes USB-C adaptor. ",$494.00
Alfatron,ALF-MA15075D,"Alfatron Mixer Amplifier. 2 x 75W into 4/8 Ohms or 1 x 150W into 70V/100V. Two mic inputs with phantom power, Line source selectable between Stereo Line In, Optical or DANTE (2ch). Line output with individual level control. DSP with EQ and Ducking. External control via IP or RS-232. Simple front panel control with lock function. Auto-standby. Trigger port for external mute. 1RU high with brackets to mount in 19"" rack, or under table or behind a screen. 7-year warranty. ","$1,834.00"
Alfatron,ALF-60W-UB,"Alfatron 60W Mixer Amp, USB & Bluetooth with remote control. Speaker Output of 100V or 70V & 4 -16 Ohms rated power output of 60W, 2 MIC inputs, 1 Emergency input, 2 Line inputs, 1 Line output, Individual Volume control for Mic 1-2, Aux 1-2,  bass/treble, and master volume control, 240V or external 24V. Compact design for shelf or table use (not rack mountable).",$496.00
Alfatron,ALF-120W-UB,"Alfatron 120W Mixer Amp, USB & Bluetooth with remote control. Speaker Output of 100V or 70V & 4 -16 Ohms rated power output of 120W, 2 MIC inputs, 1 Emergency input, 2 Line inputs, 1 Line output, Individual Volume control for Mic 1-2, Aux 1-2,  bass/treble, and master volume control, 240V or external 24V. Compact design for shelf or table use (not rack mountable).",$598.00
Alfatron,ALF-250W-UB,"Alfatron 250W Mixer Amp, USB & Bluetooth with remote control. Speaker Output of 100V or 70V & 4 -16 Ohms rated power output of 250W, 2 MIC inputs, 1 Emergency input, 2 Line inputs, 1 Line output, Individual Volume control for Mic 1-2, Aux 1-2,  bass/treble, and master volume control, 240V or external 24V. Compact design for shelf or table use (not rack mountable).",$855.00
Alfatron,ALFC-613W,"Alfatron 8” ceiling loudspeaker. Metal grille with clamp mount mechanism for quick mounting. 10W 8Ω, 10/5W @ 100V, 100-15,000Hz, 93dB 1W 1M. Dimensions (L x H): 228mm x 90mm, mounting hole 205mm diameter. White",$68.00
Alfatron,ALFC-613B,"Alfatron 8” ceiling loudspeaker. Metal grille with clamp mount mechanism for quick mounting. 10W 8Ω, 10/5W @ 100V, 100-15,000Hz, 93dB 1W 1M. Dimensions (L x H): 228mm x 90mm, mounting hole 205mm diameter. Black",$68.00
Alfatron,ALFC-657D,"Alfatron 6.5"" two way DANTE PoE ceiling speaker pair. (Master & Slave) 30w, 8Ohm, 65 - 20,000 Hz (+/- 3dB) Max SPL 111 dB","$1,787.00"
Alfatron,ALVC-30,"Alfatron 30W Volume Control. Horizontal orientation. Surface or flush mount 30W, 100V stepped (4 position and off) attenuator supplied with a surface mount box.",$51.00
Alfatron,ALVC-60,"Alfatron 60W Volume Control. Horizontal orientation. Surface or flush mount 60W, 100V stepped (4 position and off) attenuator supplied with a surface mount box.",$63.00
Alfatron,ALVC-120,"Alfatron 120W Volume Control. Horizontal orientation. Surface or flush mount 120W, 100V stepped (4 position and off) attenuator supplied with a surface mount box.",$78.00
Alfatron,ALF-BM10W,"Alfatron Half-Spherical (Omni) Electret Condenser Boundary microphone. 50Hz – 20KHz, 200 Ohm, Ceiling or Table installation, 3 pin XLR, Black",$402.00
Alfatron,ALF-BM10B,"Alfatron Half-Spherical (Omni) Electret Condenser Boundary microphone. 50Hz – 20KHz, 200 Ohm, Ceiling or Table installation, 3 pin XLR, White",$402.00
