Brand,Model,Item Number,Description,Frequency Range,SRP NZD (inc GST),Dealer NZD - 33% (ex GST),New Product,Price Change,Special Notes,UPC,EAN,Country of Origin,Customs Tariff Code,Shipping Weight (g),Shipping Weight (lbs),Length (mm),Height (mm),Width (mm),Length (in),Height (in),Width (in),Master Carton Qty,Master Carton Weight (g),Master Carton Weight (lbs),Master Carton Length (mm),Master Carton Height (mm),Master Carton Width (mm),Master Carton Length (in),Master Carton Height (in),Master Carton Width (in),Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Image 6,Product Image 7,Product Image 8,Transducer Type,Polar Pattern,Spec Sheets,Spec Sheets,Spec Sheets,Spec Sheets,Spec Sheets,Whats in the Box
Sennheiser,3-PACK E 604,506667,"Microphone set with 3x e 604, instrument microphone, dynamic, cardioid, including bracket holder and cases",,809,471.33,,,,615104264809,4044155099751,RO,85181000,60,0.13,59,,,2.32,,,4,4989.56,11.0,502,288,259,19.76,11.34,10.20,https://images.salsify.com/image/upload/s--9-P9YC_---/099456acce0838449c548715321484fa753fe71b.png,,,,,,,,Dynamic,Cardioid,https://www.sennheiser.com/globalassets/digizuite/41670-en-e_604_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41670-en-e_604_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41670-en-e_604_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41670-en-e_604_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41670-en-e_604_Product_Specification_v1.1_EN.pdf,"(3) e 604 Instrument microphone, (3) MZH 604 Microphone clip, (3) Pouch, (1) Quick guide, (1) Safety guide"
Sennheiser,3-PACK E 835,506666,"Handheld microphone set with (3) e 835 (cardioid, dynamic), (3) MZH 800 clips and (3) carrying pouches",,529,308.2,,,,615104264793,4044155099744,DE,85181000,346,0.76,180,,,7.09,,,4,8493.56,18.72,502,288,259,19.76,11.34,10.20,https://images.salsify.com/image/upload/s--_O0PX-88--/fd67dad46e02dee2e13b78d401ec041588b4eacb.png,https://images.salsify.com/image/upload/s--Hm6uyKKk--/e125cad514b204aa32434307d7eb45eb1a9f8edb.jpg,https://images.salsify.com/image/upload/s--noRH0orq--/f483e40b4d171b76c28bfbc874d28a7f9c5477b7.jpg,https://images.salsify.com/image/upload/s--SnN_b3KH--/16d6c3da03c0637211a083e47d9a8b5af3f1a47d.jpg,,,,,Dynamic,Cardioid,https://www.sennheiser.com/globalassets/digizuite/41678-en-SP_1209_v1.0_e_835_e_835-S_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41678-en-SP_1209_v1.0_e_835_e_835-S_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41678-en-SP_1209_v1.0_e_835_e_835-S_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41678-en-SP_1209_v1.0_e_835_e_835-S_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41678-en-SP_1209_v1.0_e_835_e_835-S_Product_Specification_EN.pdf,"(3) e 835 Handheld microphone, (3) MZQ 800 Microphone clip, (3) Pouch, (1) Quick guide, (1) Safety guide"
Sennheiser,3-PACK E 835-S,507359,"Microphone set with 3x e 835 S, vocal microphone, dynamic, cardioid, I/O switch, including microphone bracket and cases",,529,308.2,,,,615104282490,4044155215779,DE,85181000,346,0.76,180,,,7.09,,,4,8493.56,18.72,502,288,259,19.76,11.34,10.20,https://images.salsify.com/image/upload/s--vzN3U8NI--/200b45c41c884854537ffba03b7398a3ba469b1d.jpg,,,,,,,,Dynamic,Cardioid,,,,,,"(3) e 835-S Handheld microphone, (3) MZQ 800 Microphone clip, (3) Pouch, (1) Quick guide, (1) Safety guide"
Sennheiser,558474,558474,Suits HD 8 DJ; Adaptor; 3.5mm socket to 6.3mm jackplug; screwable; gold & blue,,9.9,5.77,,,,615104258600,4044155095371,CN,85366990,7,0.02,115,,85,4.53,,3.35,,,,0,0,0,0.00,0.00,0.00,https://images.salsify.com/image/upload/s--MSjJS8gx--/5f1a085880dda1422c1877c2f2986c9123ca93ea.jpg,,,,,,,,,,,,,,,(1) 558474
Sennheiser,A 1031-U,004645,"Receiving/transmitting antenna, passive, omnidirectional, BNC connector, 3/8Ó mounting thread 450-960 MHz",450 - 960 MHz,409,238.29,,,,615104046450,4006087046456,DE,85177100,150,0.33,270,35,130,10.63,1.38,5.12,9,3546.56,7.82,399,493,399,15.71,19.41,15.71,https://images.salsify.com/image/upload/s--CWnZ0ueD--/b67334c800089e8208c489a2832fb89b8379c4da.png,,,,,,,,,,,,,,,(1) A 1031-U Antenna
Sennheiser,A 3700,502195,"Receiver antenna, active, omnidirectional, BNC, 3/8""-assembly screw, 470 - 866 MHz, adjustable amplification 5/10/15 dB. For  EM2000/2050/3731/3732/6000 receivers.",470 - 866 MHz,2039,1187.94,,,,615104136755,4044155024685,DE,85177100,390,0.86,250,23,165,9.84,0.91,6.50,9,6471.56,14.27,541,420,266,21.30,16.54,10.47,https://images.salsify.com/image/upload/s--k-6OoJrr--/953155c71e48796ae16a9ab616bb47d922af82ca.jpg,,,,,,,,,,,,,,,(1) A 3700 Antenna
Sennheiser,A 5000-CP,500887,"Receiver/transmitter antenna, passive, directional, circularly polarized, 3/8"", N-plug, including BNC adapter, 450-960 MHz",450 - 960 MHz,2549,1485.07,,_,,615104124394,4044155015553,US,85177100,2880,6.34,417,320,417,16.42,12.60,16.42,0,0.0,0.0,0,0,0,0.00,0.00,0.00,https://images.salsify.com/image/upload/s--9Nx-RQqQ--/785abfd2a8b8d506c41e99ef8927fa95093e9736.jpg,https://images.salsify.com/image/upload/s--V8_BKq26--/0dff9e1e79d6d427acf974fd19a3ace92df9108c.jpg,,,,,,,,,,,,,,(1) A 5000-CP Antenna
Sennheiser,AB 3700,502196,Antenna Booster with adjustable gain  -3dB  5dB  10dB & 15dB  powered via 12 volts on output connector  BNC Input & Ouput  470 to 866 MHz.  For EM2000/2050/3731/3732/6000 receivers.,470 - 866 MHz,1219,710.2,,,,615104136762,4044155024692,DE,85437030,390,0.86,250,23,165,9.84,0.91,6.50,20,7061.56,15.57,404,228,304,15.91,8.98,11.97,https://images.salsify.com/image/upload/s--0gLTa5ct--/dfe2c8b62edbe8ed0dd835021ee49472a79b6fc8.jpg,,,,,,,,,,,,,,,(1) AB 3700 Antenna
Sennheiser,AB 4-AW+,508538,"Inline antenna booster, +10 dB gain, BNC connectors, frequency range: AW+ (470 - 558 MHz)",AW+ (470 - 558 MHz),509,296.55,,,,615104321403,4044155243222,DE,85437030,130,0.29,47,95,21,1.85,3.74,0.83,40,7680.0,16.93,390,200,260,15.35,7.87,10.24,https://images.salsify.com/image/upload/s--FekEhzPe--/f8c7ad731150b95eef00db8480a1a221d459f4ac.jpg,,,,,,,,,,,,,,,(1) AB 4-AW+ Antenna booster
Sennheiser,AB 4-BW,508541,"Inline antenna booster, +10 dB gain, BNC connectors, frequency range: BW (626 Ð 698 MHz)",BW (626 - 698 MHz),509,296.55,,,,615104321595,4044155243253,DE,85437030,130,0.29,47,95,21,1.85,3.74,0.83,40,7680.0,16.93,390,200,260,15.35,7.87,10.24,https://images.salsify.com/image/upload/s--FekEhzPe--/f8c7ad731150b95eef00db8480a1a221d459f4ac.jpg,,,,,,,,,,,,,,,(1) AB 4-BW Antenna booster
Sennheiser,AB 4-GBW,508540,"Inline antenna booster, +10 dB gain, BNC connectors, frequency range: AW+ (606 Ð 678 MHz)",GBW (606 - 678 MHz),509,296.55,,,,615104321502,4044155243246,DE,85437030,130,0.29,47,95,21,1.85,3.74,0.83,40,7680.0,16.93,390,200,260,15.35,7.87,10.24,https://images.salsify.com/image/upload/s--FekEhzPe--/f8c7ad731150b95eef00db8480a1a221d459f4ac.jpg,,,,,,,,,,,,,,,(1) AB 4-GBW Antenna booster
Sennheiser,AC 3200-II,505497,Active 8:1 transmitter combiner. 500 - 870 MHz. Max input power  100mw per input. For use with 2000 series transmitters. 1RU  full width chassis  inc rack ears. External power supply included.,,9499,5534.2,,_,,615104226005,4044155076691,DE,85437030,4000,8.81,436,44,215,17.17,1.73,8.46,,,,,,,,,,https://images.salsify.com/image/upload/s--T_fsgeov--/800fafc85e7f68eae79c2db99b90ab72984cf062.jpg,,,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/41764-en-SP_1289_v1.0_AC_3200-II_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41764-en-SP_1289_v1.0_AC_3200-II_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41764-en-SP_1289_v1.0_AC_3200-II_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41764-en-SP_1289_v1.0_AC_3200-II_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41764-en-SP_1289_v1.0_AC_3200-II_Product_Specification_EN.pdf,(1) AC 3200-II Antenna booster
Sennheiser,AC 41-EU,508243,"Active antenna combiner with DC power distribution for up to four IEM transmitters, includes NT 3-1-EU power supply and four BNC cables",,1929,1123.85,,_,,615104314528,4044155237290,DE,85437030,1470,3.24,212,43,168,8.35,1.69,6.61,4,9572.0,21.1,335,355,230,13.19,13.98,9.06,https://images.salsify.com/image/upload/s--ONjPWqdp--/eb46f1d0705867be9a69fe43e462f1c031f3f174.jpg,https://images.salsify.com/image/upload/s--XHVJRTst--/c6fbc3cdeb508f459fc075d8369b1485980f284f.jpg,,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/41637-en-SP_1187_v1.0_AC_41_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41637-en-SP_1187_v1.0_AC_41_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41637-en-SP_1187_v1.0_AC_41_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41637-en-SP_1187_v1.0_AC_41_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41637-en-SP_1187_v1.0_AC_41_Product_Specification_EN.pdf,"(1) AC 41 Antenna combiner, (1) NT 3-1 Power supply, (4) BNC Connectors, (1) Quick guide, (1) Safety guide"
Sennheiser,AD 3700,502197,"Receiver antenna, active, directional, BNC, 3/8""-assembly screw, 470 - 866 MHz, adjustable amplification 5/10/15 dB. For EM2000/2050/3731/3732/6000 receivers.",470 - 866 MHz,2039,1187.94,,,,615104136779,4044155024708,DE,85437030,390,0.86,250,23,165,9.84,0.91,6.50,9,8226.56,18.14,399,493,399,15.71,19.41,15.71,https://images.salsify.com/image/upload/s--JBwwb9et--/b473d0560d3bb71da9154943e3c846a80384cdf7.png,,,,,,,,,,,,,,,(1) AD 3700 Antenna
Sennheiser,ADAPTER SET NT 12-5 CW+,508997,Full prong set for EW-D EM,,19.95,11.62,,,,615104355163,4044155256703,VN,85369010,95,0.21,225,35,135,8.86,1.38,5.31,5,605.56,1.34,194,178,149,7.64,7.01,5.87,https://images.salsify.com/image/upload/s--Arvfm1oW--/kasl8irrg45vspzcyii6.webp,,,,,,,,,,,,,,,(1) ADAPTER SET NT 12-5 CW+
Sennheiser,ADP UHF (470 - 1075 MHZ),508863,"Passive, directional external paddle antenna, UHF range (470 - 1075 MHz)",UHF range (470 - 1075 MHz),809,471.33,,,,615104343412,4044155250671,CN,85177100,604,1.33,,,,,,,16,10416.0,22.96,760,250,720,29.92,9.84,28.35,https://images.salsify.com/image/upload/s--CIR-IhqG--/656c41c2811547d2d9cbe8e145104b25b1d5f1e0.jpg,,,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/40850-en-EW-D_ADP_UHF_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40850-en-EW-D_ADP_UHF_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40850-en-EW-D_ADP_UHF_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40850-en-EW-D_ADP_UHF_Product_Specification_v1.1_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/40850-en-EW-D_ADP_UHF_Product_Specification_v1.1_EN.pdf,(1) ADP UHF (470 - 1075 MHZ) Antenna
Sennheiser,AM 2,009912,Front mount antenna kit for Evolution G3 in GA 3 rack kit,,99,57.68,,,,615104099128,4006087099124,MY,85444290,"99,47",0.22,100,"0,1",80,3.94,0.00,3.15,12,1359.51,3.0,250,120,105,9.84,4.72,4.13,https://images.salsify.com/image/upload/s--ITpACuVV--/0abd56e3d3d8b190f154761c8ed70c9687d81fa8.png,,,,,,,,,,,,,,,(1) AM 2 BNC cable set
Sennheiser,AMBEO VR MIC,507195,"Ambeo¨ 3D audio microphone (4 x cardioid, ambisonic condenser) for virtual reality video production with 48 V phantom power and multi-pin output jack. Includes (1) Rycote INV 7 Suspension mount, (1) balanced split cable (4x XLRs 3-pins), (1) windscreen, (1) extension cable (1.5m, DIN12F to DIN12M) and AMBEO A-B format converter (VST, AU, and AAX Mac/PC plug-in (free download))",,3259,1898.72,,,,615104280946,4044155214710,DE,85181000,"1,06",0.00,215,25,49,8.46,0.98,1.93,3,3760.87,8.29,504,288,319,19.84,11.34,12.56,https://images.salsify.com/image/upload/s--w-RoHoFA--/4f3e5cc8febbccac0e7162b81af37a50f3f69bef.jpg,https://images.salsify.com/image/upload/s--buD2LQap--/fa584ebc7e27d54fd5ae6d010f2c0e46b39d0b9e.jpg,https://images.salsify.com/image/upload/s--n09yBpMn--/a2de8e357943a73143837b9d763c8fbdfdc6fef3.jpg,https://images.salsify.com/image/upload/s--qGJOfoa5--/4be3c1c94e2f0ba2f1d5325558d5ef655c597cb1.jpg,https://images.salsify.com/image/upload/s--qGJOfoa5--/4be3c1c94e2f0ba2f1d5325558d5ef655c597cb1.jpg,https://images.salsify.com/image/upload/s--BWwKraDl--/83a4208f72037083286d03220de2c96f155bfea1.jpg,https://images.salsify.com/image/upload/s--s0E5PCQu--/c9f5b1635f11ff3d7be52f4ca5b8a0fc12950069.jpg,https://images.salsify.com/image/upload/s--dSQdKbg4--/6c40188c34f3795b7b55d67e059d624eac96281d.jpg,Electret Condenser,Cardioid,,,,,,"AMBEO VR Mic, Balanced split cable 4x XLRs 3-pins, Extension cable, 1.5m, DIN12F to DIN12M, Rycote suspension mount, Foam wind shield, Proprietary A-B encoder, available in VST plugins (Mac OS X and Windows) and AAX plugins (Mac OS X)"
Sennheiser,ANTENNA FRONT MOUNT KIT,700667,"Antenna front mounting kit for 19Ò Sennheiser wireless rack units. Includes (2) Rack brackets, (2) RF Patch cables, (2) BNC connector holders and (4) Washers and screws",,259,150.9,,,,615104402645,4044155286779,CN,83024200,883,1.94,422,47,47,16.61,1.85,1.85,10,9310.0,20.52,440,120,265,17.32,4.72,10.43,https://images.salsify.com/image/upload/s--U5yrIgZO--/88029c59b2bd5a1f27e4a5572d107fa13cf4f338.jpg,,,,,,,,,,,,,,,"(2) Rack Brackets, (2) RF Patch Cables, (2) BNC connector holder, (4) Washers and screws"
Sennheiser,ASA 3000-EU,009423,Dual 1:8 active antenna splitter. Internal power supply. 470 - 870 MHz. switchable 12 V DC @ 200mA per antenna input. Can have IM 3000 filter modules added for narrow band operation,,4479,2609.5,,,,615104094239,4006087094235,DE,85177100,5054,11.13,525,130,315,20.67,5.12,12.40,,,,0,0,0,0.00,0.00,0.00,https://images.salsify.com/image/upload/s--lCqqaF4N--/7e8c9bea5cd6bb82556a9e33f03330dc7dd20d6f.png,,,,,,,,,,https://www.sennheiser.com/globalassets/digizuite/41762-en-SP_1288_v1.0_ASA_3000_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41762-en-SP_1288_v1.0_ASA_3000_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41762-en-SP_1288_v1.0_ASA_3000_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41762-en-SP_1288_v1.0_ASA_3000_Product_Specification_EN.pdf,https://www.sennheiser.com/globalassets/digizuite/41762-en-SP_1288_v1.0_ASA_3000_Product_Specification_EN.pdf,(1) ASA 3000 Antenna splitter
Sennheiser,ASP 113,003422,Passive 1:3 splitter or 3:1 combiner. BNC connectors. DC pass through. 7dB attenuation,,779,453.85,,_,,615104034228,4006087034224,DE,85177100,190,0.42,139,53,98,5.47,2.09,3.86,14,2906.56,6.41,457,140,257,17.99,5.51,10.12,https://images.salsify.com/image/upload/s--Xuf_yOjy--/8523f316c097214fdf359e681dd2f4deff37bee9.jpg,,,,,,,,,,,,,,,(1) ASP 113 Antenna splitter
Sennheiser,ASP 114,003423,Passive 1:4 splitter or 4:1 combiner. BNC connectors. DC pass through. 8dB attenuation,,779,453.85,,_,,615104034235,4006087034231,DE,85177100,210,0.46,139,53,98,5.47,2.09,3.86,14,3186.56,7.03,457,140,257,17.99,5.51,10.12,https://images.salsify.com/image/upload/s--1_weDrCV--/2c074c44817a489cc00e56a854236a26880a5805.jpg,,,,,,,,,,,,,,,(1) ASP 114 Antenna splitter
Sennheiser,ASP 212,003421,"One dual two-way BNC passive splitter box with DC pass through, used for sharing two antennas with up to 16 receivers (requires using two 8-channel splitter kits) 4dB attenuation",,779,453.85,,_,,615104034211,4006087034217,DE,85177100,220,0.48,139,53,98,5.47,2.09,3.86,14,3326.56,7.33,457,140,257,17.99,5.51,10.12,https://images.salsify.com/image/upload/s--EtRO2cE5--/087fec2890a4ec5be96c22738726b1c8c9cf3690.jpg,,,,,,,,,,,,,,,(1) ASP 212 Antenna splitter
Sennheiser,AVX EKP POUCH,564556,AVX Pouch,,17.58,10.24,,,,615104268982,4044155206036,HK,42023900,"0,01",0.00,,,,,,,50,596.08,1.31,504,288,319,19.84,11.34,12.56,https://images.salsify.com/image/upload/s--OWWU9b21--/650210fec23e6657e4ae5a1ed7f91df797c16b83.jpg,,,,,,,,,,,,,,,(1) AVX EKP POUCH
Sennheiser,AVX ME2/835 SET-3,509100,"Combo set, each with 1x SK-AVX-3, EKP-AVX-3, SKM-AVX-3, ME 2, MMD 835, BA 30, BA 20, BA 10, NT 5-10",,2239,1304.46,,,,615104355187,4044155256727,RO,85181000,87,0.19,320,73,170,12.60,2.87,6.69,3,3338.56,7.36,350,270,200,13.78,10.63,7.87,https://images.salsify.com/image/upload/s--0-UK3zGK--/ad2b80a2c3ddd68b5ed204ecdcbeda41fc9f70ad.jpg,https://images.salsify.com/image/upload/s--B6TkHUrN--/2d1dd23f9fdabb84063997a112828c96bd755f68.jpg,https://images.salsify.com/image/upload/s--K5j70E-C--/4485a9252ab731e68a1a4a877639b2a69a77fdcb.jpg,https://images.salsify.com/image/upload/s--SXPx3_ED--/9ebdf691758b6e09ef490a1945465c8bd3760799.jpg,https://images.salsify.com/image/upload/s--tfDqLero--/102579b0370dea5b6f56dbfeb9f3eaa388f04256.jpg,https://images.salsify.com/image/upload/s--ghxyqarL--/b43047b54e7a7d418b71adfc14a1eea591f5d625.jpg,,,Electret Condenser,Omnidirectional,,,,,,"(1) SKM AVX W/O CAPSULE Handheld transmitter, (1) MMD 835-1 BK Microphone capsule, (1) SK AVX Bodypack transmitter, (1) EKP AVX Plug-on Receiver, (1) EKP AVX Adapter, (1) ME 2 Lavalier microphone, (1) BA 10 Rechargeable battery, (1) BA 20 Rechargeable battery, (1) BA 30 Rechargeable battery, (1) CL 400 Adapter cable, (1) SKM 6000 Microphone clip, (1) NT 5-10U Power supply, (1) Pouch, (1) Quick guide, (1) Safety guide"
Sennheiser,AVX-835 SET-3,505853,"Camera set, each with 1x: EKP AVX-3, SKM AVX-835-3, cable XLR-> jack, hot shoe adapter, BA 20, BA 10, and micro USB cable",,1829,1065.59,,,,615104242968,4044155086195,RO,85181000,87,0.19,320,73,170,12.60,2.87,6.69,3,2510.56,5.53,350,270,200,13.78,10.63,7.87,https://images.salsify.com/image/upload/s--27hEN--c--/736a925ae52f984e169c0d0eee07f57d06dcd58f.jpg,https://images.salsify.com/image/upload/s--jzlFEX6h--/267be2fd00b2a35563de3fa2d412254c50541b5a.jpg,https://images.salsify.com/image/upload/s--rkhwEnFN--/090e691b14826e4d94bd5272595bbf8ce630e2de.jpg,https://images.salsify.com/image/upload/s--qvKDk2Dy--/cc0c40fab2e790e9269780fbae79c623513a7118.jpg,https://images.salsify.com/image/upload/s--sOju3xfH--/fcd31f0bb388ea1396b321f387278d7c0c4aff98.jpg,https://images.salsify.com/image/upload/s--BYAxqb9r--/7fad78215b179b6e7b5234b11cbf5bbf4c7ad75e.jpg,,,Dynamic,Cardioid,,,,,,"(1) SKM AVX W/O CAPSULE Handheld transmitter, (1) MMD 835-1 BK Microphone capsule, (1) EKP AVX Plug-on Receiver, (1) EKP AVX Adapter, (1) BA 10 Rechargeable battery, (1) BA 20 Rechargeable battery, (1) CL 400 Adapter cable, (1) SKM 6000 Microphone clip, (1) NT 5-10U Power supply, (1) Pouch, (1) Quick guide, (1) Safety guide"
Sennheiser,AVX-835 SET-3-AU,507184,"Complete System: Includes SKM AVX with 835 dynamic cardioid capsule, and Lithium Ion battery  EK AVX plug-on receiver with Lithium Ion Battery  hotshoe adaptor  belt adaptor  3.5mm to XLR 3F cable  micro-USB charging cable  power supply  pouch ANZ VERSION",,1849,1077.24,,,,615104280465,4044155214444,DE,85181000,87,0.19,320,73,170,12.60,2.87,6.69,3,2510.0,5.53,335,240,185,13.19,9.45,7.28,https://images.salsify.com/image/upload/s--27hEN--c--/736a925ae52f984e169c0d0eee07f57d06dcd58f.jpg,https://images.salsify.com/image/upload/s--B6TkHUrN--/2d1dd23f9fdabb84063997a112828c96bd755f68.jpg,https://images.salsify.com/image/upload/s--K5j70E-C--/4485a9252ab731e68a1a4a877639b2a69a77fdcb.jpg,,,,,,Dynamic,Cardioid,,,,,,"(1) SKM AVX W/O CAPSULE Handheld transmitter, (1) MMD 835-1 BK Microphone capsule, (1) EKP AVX Plug-on Receiver, (1) EKP AVX Adapter, (1) BA 10 Rechargeable battery, (1) BA 20 Rechargeable battery, (1) CL 400 Adapter cable, (1) SKM 6000 Microphone clip, (1) NT 5-10U Power supply, (1) Pouch, (1) Quick guide, (1) Safety guide"
