StockCode,GCode,Vendor,PartNo,Description,RRP,ETA,Block1_Price,Block2_Price,Block3_Price,ProductGroup,Stock,EAN,UPC,APN,MOQ
10LAJ9901(Key Light Neo),DZ00110136,ELGTO,10LAJ9901,ELGATO KEY LIGHT NEO,109.00,24/07/2026,109.00,109.00,109.00,Streaming Device for TV,0,840006673453,840006673453,,1
10MAI9901(Wave Neo),DZ00110138,ELGTO,10MAI9901,ELGATO [10MAI9901] WAVE NEO,139.00,10/08/2026,139.00,139.00,139.00,Streaming Device for TV,0,840006673460,840006673460,,1
10WAF9901(Facecam 4K),DZ00112959,ELGTO,10WAF9901,ELGATO FACECAM 4K,379.00,,379.00,379.00,379.00,Smart Device And CE - Accessory,30,,0840440484752,0840440484752,1
15M-CABLE,DZ00111724,STARL,04851100,STANDARD STARLINK CABLE 15M FOR STANDARD KIT (LATEST GENERATION),140.00,,109.57,109.57,109.57,Network Device,30,,850049670258,0850049670258,1
18H24AA(230COMBO),89947,HP,18H24AA,HP 230 WIRELESS MOUSE AND KEYBOARD COMBO,44.99,,32.12,32.12,32.12,Desktop PC Accessory - Consumer / Gaming,30,,195122124984,,1
240J7AA(150WDCOMBO),89945,HP,240J7AA,HP 150 WIRED MOUSE AND KEYBOARD,39.99,TBC,30.25,30.25,30.25,Desktop PC Accessory - Consumer / Gaming,0,,195122875589,,1
2HU85AA(200WLMSBLU),89962,HP,2HU85AA,HP 200 WIRELESS MOUSE - BLUE,27.99,,16.18,16.18,16.18,Desktop PC Accessory - Consumer / Gaming,30,,191628416516,,1
3V0G9AA(240BTMSBLK),89986,HP,3V0G9AA,HP 240 BLACK BLUETOOTH MOUSE,29.99,,20.95,20.95,20.95,Desktop PC Accessory - Consumer / Gaming,30,,195908483199,,1
3Z729AA(970WLKB),89955,HP,3Z729AA,HP 970 PROGRAMMABLE WIRELESS KEYBOARD,219.99,,164.55,164.55,164.55,Desktop PC Accessory - Consumer / Gaming,3,,195908664659,,1
43N04AA(240BTMSSLV),89972,HP,43N04AA,HP 240 PIKE SILVER BLUETOOTH MOUSE,29.99,,20.95,20.95,20.95,Desktop PC Accessory - Consumer / Gaming,30,,195908877691,,1
